SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0100-fBX150,5161771000.0,2.0,15.771875,13.266569,801.52,648.98,fBX150,Q0100,25.99,0.09,0.9,n/a,2.5089,-2.0,2.506,GAL,"has  abs, but redshift not precise",Q0100-fBX150,2.506,,,,,,,,,,,
Q0100-fBX187,11475402000.0,4.0,15.782779,13.270226,863.36,830.14,fBX187,Q0100,25.16,0.44,1.15,n/a,-1.0,-1.0,2.0759,GAL,,Q0100-fBX187,2.0759,,,,,,,,,,,
Q0100-fBX196,1254800500.0,1.0,15.784392,13.269221,844.5,855.58,fBX196,Q0100,26.42,-0.02,0.76,yes,2.2725,2.27,2.2722,GAL,fm1_K; no doubt,Q0100-fBX196,2.2722,,,,,,,,,,,
Q0100-fBX205,292878180.0,1.0,15.786443,13.274101,929.08,891.11,fBX205,Q0100,26.58,0.23,0.5,n/a,2.0739,-2.0,2.07,GAL,"abs  present, but not precise",Q0100-fBX205,2.07,,,,,,,,,,,
Q0100-fBX222,2515202000.0,1.0,15.790494,13.270092,859.15,957.23,fBX222,Q0100,26.25,0.13,0.69,yes,2.305,-2.0,2.3023,GAL,fm1_K; companion on fm1_K slit #zneb=2.3104 (fBX222b),Q0100-fBX222,2.3023,,,,,,,,,,,
Q0100-fBX253,98151336.0,1.0,15.801018,13.278173,997.89,1133.24,fBX253,Q0100,26.47,0.03,1.08,n/a,-1.0,-1.0,2.2767,GAL,,Q0100-fBX253,2.2767,,,,,,,,,,,
Q0100-fBX285,1362173300.0,1.0,15.811503,13.281679,1057.18,1307.46,fBX285,Q0100,26.47,0.24,0.47,n/a,-1.0,-1.0,2.2866,GAL,,Q0100-fBX285,2.2866,,,,,,,,,,,
Q0100-fBX286,857831550.0,3.0,15.811717,13.287336,1153.29,1311.18,fBX286,Q0100,25.72,0.22,0.59,n/a,-1.0,-1.0,2.0372,GAL,,Q0100-fBX286,2.0372,,,,,,,,,,,
Q0100-fBX295,1848593300.0,1.0,15.815008,13.273707,920.21,1365.73,fBX295,Q0100,25.8,0.33,0.37,yes,2.311,2.308,2.3072,GAL,fm1_K;,Q0100-fBX295,2.3072,,,,,,,,,,,
Q0100-fBX302,5526962700.0,8.0,15.815673,13.290528,1207.42,1376.96,fBX302,Q0100,25.5,0.44,1.37,n/a,-2.0,-2.0,2.3063,GAL,,Q0100-fBX302,2.3063,,,,,,,,,,,
Q0100-fBX333,755979580.0,15.0,15.825049,13.271817,887.98,1532.11,fBX333,Q0100,25.83,0.48,0.79,yes,2.3939,2.388,2.389,GAL,fm1_K,Q0100-fBX333,2.389,,,,,,,,,,,
Q0100-fBX341,11743239000.0,4.0,15.826209,13.296021,1298.94,1553.14,fBX341,Q0100,25.76,0.33,1.04,yes,-1.0,-1.0,2.303,GAL,fm1_K,Q0100-fBX341,2.303,,,,,,,,,,,
Q0100-fBX342,4790558200.0,1.0,15.827519,13.301068,1386.19,1573.97,fBX342,Q0100,26.01,0.12,0.72,n/a,-1.0,-1.0,2.388,GAL,,Q0100-fBX342,2.388,,,,,,,,,,,
