SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0449-BM89,1435908900.0,5.0,73.07288,-16.68023,640.5766,1154.631,BM89,Q0449,23.98,,-0.04,yes,-2.0,1.714,-1.0,GAL,"m1,m9",Q0449-BM89,1.714,-0.07,,,,,,,,,,
Q0449-BX100,661699260.0,2.0,73.06745,-16.70104,285.8367,1066.763,BX100,Q0449,24.86,,0.24,yes,-2.0,1.675,-1.0,GAL,nz; m2,Q0449-BX100,1.675,-0.02,,,,,,,,,,
Q0449-BX102,6444160000.0,5.0,73.06778,-16.70569,206.616,1072.307,BX102,Q0449,24.76,,0.9,yes,-2.0,1.82,-1.0,GAL,nz; m7+m13,Q0449-BX102,1.82,0.22,,,,,,,,,,
Q0449-BX103,286022620.0,4.0,73.06801,-16.6653,894.8212,1074.664,BX103,Q0449,25.4,,0.39,yes,-2.0,1.643,1.6464,GAL,zneb mosfire oct12+nov13,Q0449-BX103,1.6464,0.15,,,,,,,,,,
Q0449-BX105,11109751000.0,7.0,73.06905,-16.68969,479.2753,1092.473,BX105,Q0449,24.17,,0.8,yes,-2.0,1.832,-1.0,GAL,nz; m4+m6,Q0449-BX105,1.832,0.34,,,,,,,,,,
Q0449-BX107,11992657000.0,3.0,73.07013,-16.7156,37.8315,1110.982,BX107,Q0449,24.66,,0.66,yes,-2.0,1.862,-1.0,GAL,nz; m4,Q0449-BX107,1.862,0.3,,,,,,,,,,
Q0449-BX108,5801460700.0,5.0,73.07066,-16.64539,1234.143,1117.217,BX108,Q0449,24.92,,0.74,yes,-2.0,2.381,2.3797,GAL,"[OIII], Ha is double in H, K; plus1K,H; zneb mosfire oct12+nov13",Q0449-BX108,2.3797,0.48,,,,,,,,,,
#Q0449-BX110,6253792300.0,15.0,,,,,BX110,,,,,,,,,,,,,,,,,,,,,,,
Q0449-BX110,2348698100.0,23.0,73.07167,-16.66129,963.2561,1134.242,BX110,Q0449,23.82,,0.49,yes,2.34,2.335,2.3355,GAL,also kcwi q0449-BX110; nz; m10+m12;Lya is double; CIII] em z=2.335; zneb mosfire nov13,Q0449-BX110,2.3355,0.24,,,,,,,,,,
#Q0449-BX115,1879532300.0,2.0,,,,,BX115,,,,,,,,,,,,,,,,,,,,,,,
