name,RA,Dec,comments
LAE1085,237.8159583,19.0617467, point=cross 14 color=cyan width=2
LAE1088,237.8112792,19.0626881, point=cross 14 color=cyan width=2
LAE1090,238.0347458,19.0633978, point=cross 14 color=cyan width=2
LAE1093,237.9056333,19.0636875, point=cross 14 color=cyan width=2
LAE1095,237.8060375,19.0648358, point=cross 14 color=cyan width=2
LAE1096,237.9013542,19.0655806, point=cross 14 color=cyan width=2
LAE1099,237.7686750,19.0656811, point=cross 14 color=cyan width=2
LAE1100,237.9896208,19.0669856, point=cross 14 color=cyan width=2
LAE1102,237.8382375,19.0667939, point=cross 14 color=cyan width=2
LAE1104,237.8430333,19.0678044, point=cross 14 color=cyan width=2
LAE1107,237.7586417,19.0684281, point=cross 14 color=cyan width=2
LAE1108,238.0604792,19.0687067, point=cross 14 color=cyan width=2
LAE1109,237.8167958,19.0678772, point=cross 14 color=cyan width=2
LAE1114,237.8227208,19.0704886, point=cross 14 color=cyan width=2
LAE1117,237.9033750,19.0694900, point=cross 14 color=cyan width=2
LAE1118,237.9651125,19.0711164, point=cross 14 color=cyan width=2
LAE1125,238.0379417,19.0722922, point=cross 14 color=cyan width=2
LAE1126,237.9845750,19.0741669, point=cross 14 color=cyan width=2
LAE1130,237.9720375,19.0751819, point=cross 14 color=cyan width=2
LAE1132,237.7502125,19.0739628, point=cross 14 color=cyan width=2
LAE1136,237.8179167,19.0754894, point=cross 14 color=cyan width=2
LAE1138,238.0759333,19.0762428, point=cross 14 color=cyan width=2
LAE1141,238.0499708,19.0764839, point=cross 14 color=cyan width=2
LAE1142,237.8299750,19.0766269, point=cross 14 color=cyan width=2
LAE1152,238.0459958,19.0806289, point=cross 14 color=cyan width=2
LAE1155,237.8957250,19.0807944, point=cross 14 color=cyan width=2
LAE1157,237.7666000,19.0829956, point=cross 14 color=cyan width=2
LAE1160,237.7880083,19.0837650, point=cross 14 color=cyan width=2
LAE1167,237.9587000,19.0851153, point=cross 14 color=cyan width=2
LAE1172,238.1018875,19.0875758, point=cross 14 color=cyan width=2
LAE1175,237.7459958,19.0869353, point=cross 14 color=cyan width=2
LAE1180,237.7582917,19.0884414, point=cross 14 color=cyan width=2
LAE1181,237.8344625,19.0896308, point=cross 14 color=cyan width=2
LAE1185,238.1240000,19.0903453, point=cross 14 color=cyan width=2
LAE1189,238.1316167,19.0917033, point=cross 14 color=cyan width=2
LAE1195,238.1372083,19.0925789, point=cross 14 color=cyan width=2
LAE1199,237.7833333,19.0932356, point=cross 14 color=cyan width=2
LAE1203,237.8117208,19.0942019, point=cross 14 color=cyan width=2
LAE1205,238.0026625,19.0947383, point=cross 14 color=cyan width=2
LAE1206,238.1502083,19.0940903, point=cross 14 color=cyan width=2
LAE1207,238.1226417,19.0944417, point=cross 14 color=cyan width=2
LAE1208,237.8221542,19.0947106, point=cross 14 color=cyan width=2
LAE1209,237.8791917,19.0955042, point=cross 14 color=cyan width=2
LAE1211,237.8228417,19.0963406, point=cross 14 color=cyan width=2
LAE1212,237.9642875,19.0954889, point=cross 14 color=cyan width=2
LAE1213,238.0697625,19.0962753, point=cross 14 color=cyan width=2
LAE1215,237.8975500,19.0970758, point=cross 14 color=cyan width=2
LAE1216,238.0168500,19.0975558, point=cross 14 color=cyan width=2
LAE1220,237.8488167,19.0986258, point=cross 14 color=cyan width=2
LAE1221,237.9897292,19.0976044, point=cross 14 color=cyan width=2
LAE1222,237.9978375,19.0992142, point=cross 14 color=cyan width=2
LAE1223,237.9643292,19.0993978, point=cross 14 color=cyan width=2
LAE1224,238.1147750,19.0986825, point=cross 14 color=cyan width=2
LAE1227,238.0616375,19.0996206, point=cross 14 color=cyan width=2
LAE1228,238.1144917,19.0980817, point=cross 14 color=cyan width=2
LAE1229,238.0046208,19.0999939, point=cross 14 color=cyan width=2
LAE1233,237.9099458,19.1006464, point=cross 14 color=cyan width=2
LAE1237,237.9835583,19.1014650, point=cross 14 color=cyan width=2
LAE1241,237.8000833,19.1025192, point=cross 14 color=cyan width=2
LAE1242,238.1385208,19.1026486, point=cross 14 color=cyan width=2
LAE1243,237.9235917,19.1027811, point=cross 14 color=cyan width=2
LAE1245,237.8431792,19.1032606, point=cross 14 color=cyan width=2
LAE1246,237.9098708,19.1042108, point=cross 14 color=cyan width=2
LAE1247,237.9738583,19.1034542, point=cross 14 color=cyan width=2
LAE1251,237.7753542,19.1050225, point=cross 14 color=cyan width=2
LAE1252,237.9833583,19.1027389, point=cross 14 color=cyan width=2
LAE1253,237.9875958,19.1049847, point=cross 14 color=cyan width=2
LAE1257,238.1386042,19.1060603, point=cross 14 color=cyan width=2
LAE1260,238.0185208,19.1067800, point=cross 14 color=cyan width=2
LAE1261,238.1513958,19.1067817, point=cross 14 color=cyan width=2
LAE1263,238.0438917,19.1076769, point=cross 14 color=cyan width=2
LAE1266,237.8169750,19.1082892, point=cross 14 color=cyan width=2
LAE1267,237.7836167,19.1079472, point=cross 14 color=cyan width=2
LAE1277,237.7550542,19.1082336, point=cross 14 color=cyan width=2
LAE1281,238.0273208,19.1112831, point=cross 14 color=cyan width=2
LAE1282,237.8950250,19.1117903, point=cross 14 color=cyan width=2
LAE1285,237.7426750,19.1130253, point=cross 14 color=cyan width=2
LAE1286,238.1753708,19.1123814, point=cross 14 color=cyan width=2
LAE1288,237.9296375,19.1130831, point=cross 14 color=cyan width=2
LAE1290,237.7405458,19.1130956, point=cross 14 color=cyan width=2
LAE1291,237.8017042,19.1138919, point=cross 14 color=cyan width=2
LAE1292,237.8797125,19.1141133, point=cross 14 color=cyan width=2
LAE1294,237.8375083,19.1150675, point=cross 14 color=cyan width=2
LAE1296,237.9375917,19.1159336, point=cross 14 color=cyan width=2
LAE1299,237.9743750,19.1158092, point=cross 14 color=cyan width=2
LAE1301,238.0540375,19.1165072, point=cross 14 color=cyan width=2
LAE1302,237.8914958,19.1165192, point=cross 14 color=cyan width=2
LAE1305,237.7807208,19.1175378, point=cross 14 color=cyan width=2
LAE1306,237.7456458,19.1168067, point=cross 14 color=cyan width=2
LAE1308,237.9330000,19.1178914, point=cross 14 color=cyan width=2
LAE1309,237.9483333,19.1177153, point=cross 14 color=cyan width=2
LAE1318,237.7873250,19.1194183, point=cross 14 color=cyan width=2
LAE1327,237.9541292,19.1208175, point=cross 14 color=cyan width=2
LAE1329,237.7874167,19.1209197, point=cross 14 color=cyan width=2
LAE1331,237.9665875,19.1229619, point=cross 14 color=cyan width=2
LAE1332,238.0103792,19.1234247, point=cross 14 color=cyan width=2
LAE1335,237.9486208,19.1235297, point=cross 14 color=cyan width=2
LAE1336,238.1379542,19.1227147, point=cross 14 color=cyan width=2
LAE1338,237.7498292,19.1241581, point=cross 14 color=cyan width=2
LAE1339,237.9588083,19.1253647, point=cross 14 color=cyan width=2
LAE1340,237.9689042,19.1246550, point=cross 14 color=cyan width=2
LAE1342,237.9422083,19.1255325, point=cross 14 color=cyan width=2
LAE1343,238.1629333,19.1259033, point=cross 14 color=cyan width=2
LAE1345,238.1093958,19.1266897, point=cross 14 color=cyan width=2
LAE1349,237.9693750,19.1268047, point=cross 14 color=cyan width=2
LAE1353,237.8794625,19.1279578, point=cross 14 color=cyan width=2
LAE1358,237.8753500,19.1286939, point=cross 14 color=cyan width=2
LAE1359,238.1215875,19.1283950, point=cross 14 color=cyan width=2
LAE1367,237.9712792,19.1295622, point=cross 14 color=cyan width=2
LAE1369,237.9726333,19.1293428, point=cross 14 color=cyan width=2
LAE1372,238.0782208,19.1297025, point=cross 14 color=cyan width=2
LAE1376,238.0537375,19.1322417, point=cross 14 color=cyan width=2
LAE1379,237.7761458,19.1321136, point=cross 14 color=cyan width=2
LAE1381,237.7697667,19.1324069, point=cross 14 color=cyan width=2
LAE1384,237.7489292,19.1341669, point=cross 14 color=cyan width=2
LAE1388,237.9329958,19.1336261, point=cross 14 color=cyan width=2
LAE1389,238.0504167,19.1344417, point=cross 14 color=cyan width=2
LAE1390,238.0596208,19.1343864, point=cross 14 color=cyan width=2
LAE1393,237.8915000,19.1367828, point=cross 14 color=cyan width=2
LAE1394,238.1734792,19.1363647, point=cross 14 color=cyan width=2
LAE1397,238.1296125,19.1381761, point=cross 14 color=cyan width=2
LAE1400,237.9862250,19.1381300, point=cross 14 color=cyan width=2
LAE1406,237.9413792,19.1394869, point=cross 14 color=cyan width=2
LAE1408,237.8593500,19.1403636, point=cross 14 color=cyan width=2
LAE1409,237.8519917,19.1400781, point=cross 14 color=cyan width=2
LAE1411,237.8885917,19.1402200, point=cross 14 color=cyan width=2
LAE1413,238.0638375,19.1405367, point=cross 14 color=cyan width=2
LAE1417,237.7610542,19.1418197, point=cross 14 color=cyan width=2
LAE1418,237.9506542,19.1416914, point=cross 14 color=cyan width=2
LAE1419,238.0700625,19.1426133, point=cross 14 color=cyan width=2
LAE1420,238.0911500,19.1435933, point=cross 14 color=cyan width=2
LAE1422,238.0915125,19.1434439, point=cross 14 color=cyan width=2
LAE1424,237.7681500,19.1437175, point=cross 14 color=cyan width=2
LAE1425,237.8268333,19.1442947, point=cross 14 color=cyan width=2
LAE1426,238.0607083,19.1403914, point=cross 14 color=cyan width=2
LAE1427,237.8278750,19.1439914, point=cross 14 color=cyan width=2
LAE1428,237.9617333,19.1440642, point=cross 14 color=cyan width=2
LAE1430,237.7688250,19.1448392, point=cross 14 color=cyan width=2
LAE1431,237.8318375,19.1458764, point=cross 14 color=cyan width=2
LAE1434,237.9553667,19.1456386, point=cross 14 color=cyan width=2
LAE1436,237.9890667,19.1469222, point=cross 14 color=cyan width=2
LAE1439,237.9920042,19.1469881, point=cross 14 color=cyan width=2
LAE1441,238.0042708,19.1473167, point=cross 14 color=cyan width=2
LAE1449,237.9894542,19.1493125, point=cross 14 color=cyan width=2
LAE1450,238.1507417,19.1482364, point=cross 14 color=cyan width=2
LAE1451,238.0120000,19.1496892, point=cross 14 color=cyan width=2
LAE1453,237.9392542,19.1499275, point=cross 14 color=cyan width=2
LAE1460,238.1138417,19.1503675, point=cross 14 color=cyan width=2
LAE1461,237.9102917,19.1511250, point=cross 14 color=cyan width=2
LAE1462,237.9496750,19.1508764, point=cross 14 color=cyan width=2
LAE1469,237.9975375,19.1530106, point=cross 14 color=cyan width=2
LAE1470,238.0132667,19.1525203, point=cross 14 color=cyan width=2
LAE1472,237.7551375,19.1524500, point=cross 14 color=cyan width=2
LAE1473,237.8249625,19.1540881, point=cross 14 color=cyan width=2
LAE1477,237.9075125,19.1549006, point=cross 14 color=cyan width=2
LAE1478,238.0513292,19.1552056, point=cross 14 color=cyan width=2
LAE1480,237.9958167,19.1556803, point=cross 14 color=cyan width=2
LAE1482,237.8493875,19.1544761, point=cross 14 color=cyan width=2
LAE1483,238.0141958,19.1562717, point=cross 14 color=cyan width=2
LAE1486,237.9360708,19.1567978, point=cross 14 color=cyan width=2
LAE1499,238.1062125,19.1594439, point=cross 14 color=cyan width=2
LAE1500,238.0692375,19.1596964, point=cross 14 color=cyan width=2
LAE1503,237.9387417,19.1581475, point=cross 14 color=cyan width=2
LAE1505,237.9082208,19.1603019, point=cross 14 color=cyan width=2
LAE1507,237.7447583,19.1602178, point=cross 14 color=cyan width=2
LAE1508,237.9389333,19.1605939, point=cross 14 color=cyan width=2
LAE1510,237.8658792,19.1603194, point=cross 14 color=cyan width=2
LAE1511,237.7599750,19.1605322, point=cross 14 color=cyan width=2
LAE1512,237.7867625,19.1599742, point=cross 14 color=cyan width=2
LAE1515,237.9175333,19.1612350, point=cross 14 color=cyan width=2
LAE1517,238.0440208,19.1612067, point=cross 14 color=cyan width=2
LAE1524,237.9669750,19.1618522, point=cross 14 color=cyan width=2
LAE1525,238.0010667,19.1611486, point=cross 14 color=cyan width=2
LAE1526,237.7533583,19.1616700, point=cross 14 color=cyan width=2
LAE1527,237.9987083,19.1608761, point=cross 14 color=cyan width=2
LAE1528,237.8685333,19.1616869, point=cross 14 color=cyan width=2
LAE1530,237.9141833,19.1618367, point=cross 14 color=cyan width=2
LAE1532,238.1660042,19.1624317, point=cross 14 color=cyan width=2
LAE1533,237.9437708,19.1628917, point=cross 14 color=cyan width=2
LAE1534,238.1019667,19.1621583, point=cross 14 color=cyan width=2
LAE1535,237.9410833,19.1624486, point=cross 14 color=cyan width=2
LAE1536,237.9038958,19.1630353, point=cross 14 color=cyan width=2
LAE1537,237.9065958,19.1632186, point=cross 14 color=cyan width=2
LAE1538,237.7573500,19.1631322, point=cross 14 color=cyan width=2
LAE1539,237.8924458,19.1635519, point=cross 14 color=cyan width=2
LAE1540,237.8618625,19.1633883, point=cross 14 color=cyan width=2
LAE1541,238.0043708,19.1632603, point=cross 14 color=cyan width=2
LAE1543,237.8695042,19.1642800, point=cross 14 color=cyan width=2
LAE1544,237.7847458,19.1634422, point=cross 14 color=cyan width=2
LAE1548,237.7660708,19.1643469, point=cross 14 color=cyan width=2
LAE1549,237.8314333,19.1645472, point=cross 14 color=cyan width=2
LAE1550,237.8247125,19.1626697, point=cross 14 color=cyan width=2
LAE1551,238.0205583,19.1647197, point=cross 14 color=cyan width=2
LAE1553,237.7704667,19.1642044, point=cross 14 color=cyan width=2
LAE1554,237.9889708,19.1647789, point=cross 14 color=cyan width=2
LAE1560,238.0294167,19.1664053, point=cross 14 color=cyan width=2
LAE1561,237.9841875,19.1657342, point=cross 14 color=cyan width=2
LAE1565,238.0089125,19.1652208, point=cross 14 color=cyan width=2
LAE1566,237.9483625,19.1667450, point=cross 14 color=cyan width=2
LAE1567,238.0761292,19.1676844, point=cross 14 color=cyan width=2
LAE1568,238.0441625,19.1677478, point=cross 14 color=cyan width=2
LAE1569,238.0694542,19.1615933, point=cross 14 color=cyan width=2
