ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
17,237.97374000,19.20684000,Primary,0.030136,0.017760,257.9984,237.96524529,19.18338750,290.8305,-444.7277,4,244,53,0.696,0.191,-1.00000000,-2.00000000,-2.00000000,-2.00000000
19,237.94803000,19.17042000,Contaminant,-0.013070,-0.025570,257.9984,237.96524529,19.18338750,447.9850,-456.4599,1,283,81,0.586,0.154,-1.00000000,+1.98959756,+2.15370226,-2.00000000
20,237.96134000,19.16064000,Primary,-0.030266,-0.011408,257.9984,237.96524529,19.18338750,456.4208,-399.7378,1,119,150,0.737,0.695,-1.00000000,-1.00000000,+1.71443641,-2.00000000
27,237.93506000,19.19022000,Primary,0.017708,-0.036316,257.9984,237.96524529,19.18338750,407.5514,-529.8887,3,126,28,0.406,0.333,-1.00000000,+2.78498697,+2.94891214,-2.00000000
32,237.96090000,19.15512000,Primary,-0.037725,-0.013509,257.9984,237.96524529,19.18338750,474.4661,-391.2784,1,48,140,0.699,0.358,-1.00000000,-1.00000000,-1.00000000,-2.00000000
42,237.99874000,19.16092000,Primary,-0.040516,0.036803,257.9984,237.96524529,19.18338750,393.0491,-289.4544,2,23,146,0.246,0.677,-1.00000000,-1.00000000,-1.00000000,-2.00000000
57,237.94845830,19.16682500,Primary,-0.018129,-0.026037,257.9984,237.96524529,19.18338750,458.5437,-448.8339,1,235,78,0.397,0.848,-1.00000000,+1.85624719,+2.02034259,-2.00000000
60,237.98904170,19.16480280,Primary,-0.032388,0.025337,257.9984,237.96524529,19.18338750,397.0817,-325.0486,2,100,90,0.696,0.348,-1.00000000,-1.00000000,-1.00000000,-2.00000000
69,237.93933330,19.18658060,Primary,0.011546,-0.031976,257.9984,237.96524529,19.18338750,411.8289,-510.7965,3,67,49,0.700,0.651,-1.00000000,+2.62835407,+2.79235220,-2.00000000
74,237.93966670,19.19145830,Primary,0.018158,-0.030156,257.9984,237.96524529,19.18338750,395.9750,-518.4339,3,130,58,0.680,0.599,-1.00000000,+2.80417466,+2.96820378,-2.00000000
79,237.94583330,19.18417780,Primary,0.006460,-0.024450,257.9984,237.96524529,19.18338750,408.5088,-487.2953,3,19,86,0.245,0.618,-1.00000000,+2.50554466,+2.66966534,-2.00000000
81,237.94779170,19.20006940,Primary,0.027807,-0.017385,257.9984,237.96524529,19.18338750,355.4012,-509.5969,3,222,121,0.561,0.352,-1.00000000,+3.07439113,-2.00000000,-2.00000000
