ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
7,237.96618000,19.17811000,Primary,0.025093,0.017290,257.9958,237.95724188,19.15820974,301.2261,-437.1238,4,196,50,0.662,0.874,-1.00000000,+3.04372168,-2.00000000,-2.00000000
22,237.93839000,19.18475000,Primary,0.041752,-0.016279,257.9958,237.95724188,19.15820974,326.8201,-531.1773,3,355,126,0.398,0.801,-1.00000000,-2.00000000,-2.00000000,-2.00000000
50,237.93198000,19.16245000,Primary,0.012809,-0.030860,257.9958,237.95724188,19.15820974,407.4619,-510.7353,3,79,55,0.737,0.133,-1.00000000,+2.66297936,+2.82699800,-2.00000000
58,237.95829170,19.17820560,Primary,0.027373,0.007182,257.9958,237.95724188,19.15820974,314.1036,-460.6569,4,218,1,0.403,0.202,-1.00000000,+3.09354591,-2.00000000,-2.00000000
65,237.93691670,19.18393060,Primary,0.041018,-0.018387,257.9958,237.95724188,19.15820974,331.8503,-534.0923,3,348,116,0.405,0.442,-1.00000000,-2.00000000,-2.00000000,-2.00000000
67,237.93883330,19.15821390,Primary,0.005104,-0.023407,257.9958,237.95724188,19.15820974,409.3006,-482.9428,3,6,91,0.326,0.738,-1.00000000,+2.47090554,+2.63504195,-2.00000000
70,237.93937500,19.15000560,Primary,-0.006338,-0.025055,257.9958,237.95724188,19.15820974,434.1381,-466.8239,1,347,83,0.706,0.700,-1.00000000,+2.16691136,+2.33102250,-2.00000000
78,237.94575000,19.13944720,Primary,-0.022640,-0.019944,257.9958,237.95724188,19.15820974,456.6009,-429.2669,1,192,108,0.403,0.773,-1.00000000,+1.74384141,+1.90803170,-2.00000000
80,237.94679170,19.16485000,Primary,0.012061,-0.011396,257.9958,237.95724188,19.15820974,375.1961,-471.1018,3,72,150,0.566,0.753,-1.00000000,+2.66768360,+2.83199573,-2.00000000
95,237.96054170,19.17431390,Primary,0.021376,0.008929,257.9958,237.95724188,19.15820974,322.5492,-447.1098,4,161,9,0.269,0.782,-1.00000000,+2.93747783,-2.00000000,-2.00000000
98,237.96370830,19.17715560,Primary,0.024446,0.013829,257.9958,237.95724188,19.15820974,308.3481,-442.7565,4,190,33,0.500,0.866,-1.00000000,+3.02330160,-2.00000000,-2.00000000
99,237.96370830,19.17715560,Contaminant,0.024446,0.013829,257.9958,237.95724188,19.15820974,308.3481,-442.7565,4,190,33,0.500,0.866,-1.00000000,+3.02330160,-2.00000000,-2.00000000
102,237.96675000,19.17797780,Primary,0.024755,0.017985,257.9958,237.95724188,19.15820974,300.6885,-435.2017,4,193,54,0.433,0.290,-1.00000000,+3.03627515,-2.00000000,-2.00000000
154,237.98916670,19.14696940,Primary,-0.024519,0.037988,257.9958,237.95724188,19.15820974,360.4665,-313.9526,2,175,152,0.619,0.524,-1.00000000,+1.74487078,+1.90968394,-2.00000000
155,237.98812500,19.14675560,Primary,-0.024521,0.036572,257.9958,237.95724188,19.15820974,362.8779,-316.6601,2,175,145,0.602,0.569,-1.00000000,+1.74380660,+1.90860927,-2.00000000
158,237.98629170,19.13811940,Primary,-0.035966,0.031716,257.9958,237.95724188,19.15820974,393.0218,-306.8127,2,66,121,0.598,0.688,-1.00000000,-1.00000000,-1.00000000,-2.00000000
169,237.98191670,19.15222500,Primary,-0.015182,0.030093,257.9958,237.95724188,19.15820974,356.1027,-344.7256,2,264,113,0.579,0.746,-1.00000000,+1.98750091,+2.15225363,-2.00000000
199,237.96863750,19.18447750,Filler,0.033247,0.022331,257.9958,237.95724188,19.15820974,277.1533,-441.1076,4,274,75,0.318,0.659,-1.00000000,-2.00000000,-2.00000000,-2.00000000
256,237.94370000,19.16866000,Filler,0.018161,-0.014228,257.9958,237.95724188,19.15820974,368.4118,-486.9974,3,130,136,0.671,0.848,-1.00000000,+2.82450557,+2.98877859,-2.00000000
267,237.96489000,19.18969000,Filler,0.041474,0.019045,257.9958,237.95724188,19.15820974,267.0677,-461.4258,4,352,59,0.702,0.517,-1.00000000,-2.00000000,-2.00000000,-2.00000000
329,237.93839000,19.18475000,Contaminant,0.041752,-0.016279,257.9958,237.95724188,19.15820974,326.8201,-531.1773,3,355,126,0.398,0.801,-1.00000000,-2.00000000,-2.00000000,-2.00000000
402,237.94254170,19.18068610,Filler,0.035049,-0.012199,257.9958,237.95724188,19.15820974,332.6314,-511.6941,3,291,146,0.534,0.838,-1.00000000,-2.00000000,-2.00000000,-2.00000000
606,237.92325000,19.17212220,Filler,0.028453,-0.039069,257.9958,237.95724188,19.15820974,391.7066,-553.6974,3,228,14,0.769,0.823,-1.00000000,+3.06101036,-2.00000000,-2.00000000
616,237.98787500,19.13653610,Filler,-0.038607,0.033318,257.9958,237.95724188,19.15820974,395.3403,-299.3214,2,41,129,0.441,0.558,-1.00000000,-1.00000000,-1.00000000,-2.00000000
627,237.92370830,19.17266670,Filler,0.029077,-0.038336,257.9958,237.95724188,19.15820974,389.2336,-553.3024,3,234,18,0.709,0.425,-1.00000000,+3.07862973,-2.00000000,-2.00000000
636,237.98037500,19.14336110,Filler,-0.027032,0.025549,257.9958,237.95724188,19.15820974,386.4736,-333.6125,2,151,91,0.714,0.398,-1.00000000,-1.00000000,+1.83292949,-2.00000000
651,237.97583330,19.14732500,Filler,-0.020260,0.020813,257.9958,237.95724188,19.15820974,381.6334,-354.0781,2,216,68,0.239,0.135,-1.00000000,+1.84580076,+2.01047611,-2.00000000
682,237.93504170,19.14557500,Filler,-0.011218,-0.031783,257.9958,237.95724188,19.15820974,455.2713,-471.8278,1,301,50,0.247,0.631,-1.00000000,+2.03207159,+2.19607306,-2.00000000
934,237.92331250,19.17208580,Contaminant,0.028386,-0.039001,257.9958,237.95724188,19.15820974,391.7164,-553.4479,3,228,15,0.133,0.157,-1.00000000,+3.06130266,-2.00000000,-2.00000000
944,237.96152920,19.17613690,Filler,0.023630,0.010730,257.9958,237.95724188,19.15820974,315.1828,-447.4091,4,182,18,0.734,0.636,-1.00000000,+2.99773741,-2.00000000,-2.00000000
