ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
1,237.96474000,19.18521000,Primary,0.010460,-0.028762,258.0058,237.98804433,19.18228500,408.3247,-502.5954,3,57,65,0.355,0.435,-1.00000000,+2.60499263,+2.76904488,-2.00000000
2,237.97402000,19.18614000,Primary,0.009198,-0.016742,258.0058,237.98804433,19.18228500,389.9060,-476.7562,3,45,124,0.307,0.488,-1.00000000,+2.58673120,+2.75096893,-2.00000000
3,237.96366000,19.18492000,Primary,0.010357,-0.030209,258.0058,237.98804433,19.18228500,411.0382,-505.2811,3,56,58,0.374,0.328,-1.00000000,+2.60041857,+2.76444745,-2.00000000
4,237.99200000,19.20727780,Primary,0.033500,0.012373,258.0058,237.98804433,19.18228500,293.5863,-460.9044,4,276,26,0.752,0.720,-1.00000000,-2.00000000,-2.00000000,-2.00000000
31,237.95704000,19.18278000,Primary,0.009228,-0.039159,258.0058,237.98804433,19.18228500,428.8071,-521.1032,3,45,14,0.640,0.356,-1.00000000,+2.55849648,+2.72237062,-2.00000000
39,237.96546000,19.17103000,Primary,-0.009224,-0.031875,258.0058,237.98804433,19.18228500,451.5886,-475.3829,1,320,50,0.248,0.187,-1.00000000,+2.08450007,+2.24850154,-2.00000000
53,238.01416670,19.16702780,Primary,-0.028439,0.029303,258.0058,237.98804433,19.18228500,382.7473,-324.0453,2,138,109,0.307,0.841,-1.00000000,-1.00000000,+1.79951465,-2.00000000
56,238.00912920,19.18010220,Primary,-0.008893,0.026540,258.0058,237.98804433,19.18228500,350.1733,-362.0990,2,324,96,0.493,0.291,-1.00000000,+2.15209866,+2.31682301,-2.00000000
106,237.97025000,19.19470280,Primary,0.022024,-0.019058,258.0058,237.98804433,19.18228500,369.3526,-503.0671,3,167,113,0.479,0.126,-1.00000000,+2.92069650,+3.08490205,-2.00000000
111,237.97116670,19.19502220,Primary,0.022215,-0.017802,258.0058,237.98804433,19.18228500,366.8197,-500.9173,3,169,119,0.301,0.293,-1.00000000,+2.92777538,+3.09199882,-2.00000000
117,238.00895830,19.17614720,Primary,-0.014331,0.025178,258.0058,237.98804433,19.18228500,362.8595,-355.6069,2,272,89,0.699,0.592,-1.00000000,+2.00572944,+2.17044187,-2.00000000
