ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
8,237.97491670,19.17828890,Primary,-0.030226,0.022858,257.9944,237.95328144,19.19575332,397.1896,-333.4375,2,121,78,0.295,0.169,-1.00000000,-1.00000000,+1.74703217,-2.00000000
12,237.97137500,19.17622220,Primary,-0.032078,0.017698,257.9944,237.95328144,19.19575332,409.5873,-340.2716,2,103,52,0.674,0.808,-1.00000000,-1.00000000,-1.00000000,-2.00000000
13,237.97133330,19.18250280,Primary,-0.023381,0.019434,257.9944,237.95328144,19.19575332,389.9622,-351.5041,2,186,61,0.506,0.351,-1.00000000,+1.76089704,+1.92555964,-2.00000000
19,237.94803000,19.17042000,Primary,-0.033437,-0.013847,257.9944,237.95328144,19.19575332,466.7800,-399.1570,1,89,138,0.543,0.706,-1.00000000,-1.00000000,-1.00000000,-2.00000000
29,237.93853000,19.20366000,Primary,0.014984,-0.016495,257.9944,237.95328144,19.19575332,378.4019,-486.0727,3,100,125,0.419,0.707,-1.00000000,+2.73890448,+2.90314531,-2.00000000
61,237.93533330,19.19654170,Primary,0.006056,-0.022594,257.9944,237.95328144,19.19575332,406.0640,-482.9540,3,15,95,0.393,0.732,-1.00000000,+2.49674058,+2.66088986,-2.00000000
76,237.94375000,19.21072220,Primary,0.023302,-0.007809,257.9944,237.95328144,19.19575332,347.5376,-483.1012,3,179,168,0.628,0.389,-1.00000000,+2.96786022,-2.00000000,-2.00000000
93,237.95745830,19.21324440,Primary,0.023056,0.010460,257.9944,237.95328144,19.19575332,316.7360,-446.9663,4,177,17,0.271,0.308,-1.00000000,+2.98364949,-2.00000000,-2.00000000
101,237.96975000,19.19414170,Primary,-0.006813,0.020734,257.9944,237.95328144,19.19575332,356.1098,-376.7799,2,344,67,0.321,0.767,-1.00000000,+2.20260382,+2.36727691,-2.00000000
118,237.98375000,19.19303610,Primary,-0.012273,0.038551,257.9944,237.95328144,19.19575332,336.1887,-333.3640,2,292,155,0.267,0.310,-1.00000000,+2.07270122,+2.23751831,-2.00000000
128,237.92133330,19.20178060,Primary,0.017083,-0.038760,257.9944,237.95328144,19.19575332,413.0092,-533.6817,3,120,16,0.463,0.327,-1.00000000,+2.76517653,+2.92905831,-2.00000000
162,237.98579170,19.17781940,Primary,-0.033963,0.036814,257.9944,237.95328144,19.19575332,380.4920,-300.3987,2,85,146,0.665,0.743,-1.00000000,-1.00000000,-1.00000000,-2.00000000
170,237.97712500,19.18225560,Primary,-0.025362,0.026848,257.9944,237.95328144,19.19575332,381.0616,-333.9138,2,167,97,0.622,0.782,-1.00000000,+1.71387661,+1.87860310,-2.00000000
174,237.97612500,19.19105560,Primary,-0.012881,0.028085,257.9944,237.95328144,19.19575332,355.1376,-352.4416,2,286,103,0.506,0.881,-1.00000000,+2.04724407,+2.21198034,-2.00000000
175,237.97541670,19.21785830,Primary,0.024543,0.034988,257.9944,237.95328144,19.19575332,272.2739,-401.9495,4,191,137,0.379,0.846,-1.00000000,+3.04801893,-2.00000000,-2.00000000
176,237.97620830,19.19629720,Primary,-0.005629,0.029710,257.9944,237.95328144,19.19575332,338.5621,-361.4667,2,355,111,0.573,0.876,-1.00000000,+2.24129558,+2.40604472,-2.00000000
183,237.93162500,19.19925280,Primary,0.010805,-0.026511,257.9944,237.95328144,19.19575332,403.7535,-498.7307,3,60,76,0.629,0.496,-1.00000000,+2.61610007,+2.78018880,-2.00000000
184,237.93316670,19.18396390,Primary,-0.010640,-0.028905,257.9944,237.95328144,19.19575332,449.1282,-467.1321,1,306,64,0.745,0.773,-1.00000000,+2.04918504,+2.21323371,-2.00000000
