ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
17,237.97374000,19.20684000,Primary,0.030137,0.017965,257.9983,237.96509311,19.18335694,290.4804,-444.3311,4,244,54,0.705,0.198,-1.00000000,-2.00000000,-2.00000000,-2.00000000
20,237.96134000,19.16064000,Primary,-0.030267,-0.011206,257.9983,237.96509311,19.18335694,456.0707,-399.3411,1,119,151,0.725,0.689,-1.00000000,-1.00000000,+1.71463513,-2.00000000
27,237.93506000,19.19022000,Primary,0.017708,-0.036116,257.9983,237.96509311,19.18335694,407.2013,-529.4921,3,126,29,0.412,0.317,-1.00000000,+2.78526306,+2.94919157,-2.00000000
32,237.96090000,19.15512000,Primary,-0.037726,-0.013307,257.9983,237.96509311,19.18335694,474.1160,-390.8818,1,48,141,0.685,0.352,-1.00000000,-1.00000000,-1.00000000,-2.00000000
42,237.99874000,19.16092000,Primary,-0.040517,0.037009,257.9983,237.96509311,19.18335694,392.6990,-289.0578,2,23,147,0.235,0.691,-1.00000000,-1.00000000,-1.00000000,-2.00000000
57,237.94845830,19.16682500,Primary,-0.018130,-0.025836,257.9983,237.96509311,19.18335694,458.1937,-448.4372,1,235,79,0.389,0.836,-1.00000000,+1.85647082,+2.02056956,-2.00000000
60,237.98904170,19.16480280,Primary,-0.032389,0.025543,257.9983,237.96509311,19.18335694,396.7317,-324.6519,2,100,91,0.687,0.358,-1.00000000,-1.00000000,-1.00000000,-2.00000000
69,237.93933330,19.18658060,Primary,0.011546,-0.031775,257.9983,237.96509311,19.18335694,411.4788,-510.3998,3,67,50,0.704,0.637,-1.00000000,+2.62861776,+2.79261947,-2.00000000
74,237.93966670,19.19145830,Primary,0.018158,-0.029955,257.9983,237.96509311,19.18335694,395.6250,-518.0372,3,130,59,0.686,0.586,-1.00000000,+2.80444407,+2.96847653,-2.00000000
79,237.94583330,19.18417780,Primary,0.006461,-0.024248,257.9983,237.96509311,19.18335694,408.1588,-486.8986,3,19,87,0.246,0.608,-1.00000000,+2.50579429,+2.66991830,-2.00000000
81,237.94779170,19.20006940,Primary,0.027808,-0.017183,257.9983,237.96509311,19.18335694,355.0512,-509.2002,3,222,122,0.570,0.344,-1.00000000,+3.07465672,-2.00000000,-2.00000000
83,237.94975000,19.15091940,Primary,-0.040304,-0.028621,257.9983,237.96509311,19.18335694,505.9164,-416.4834,1,24,66,0.194,0.105,-1.00000000,-1.00000000,-1.00000000,-2.00000000
