ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
8,237.97491670,19.17828890,Primary,-0.030225,0.022447,257.9945,237.95358583,19.19581446,397.8897,-334.2309,2,121,76,0.314,0.150,-1.00000000,-1.00000000,+1.74670422,-2.00000000
12,237.97137500,19.17622220,Primary,-0.032076,0.017288,257.9945,237.95358583,19.19581446,410.2874,-341.0649,2,103,50,0.694,0.794,-1.00000000,-1.00000000,-1.00000000,-2.00000000
13,237.97133330,19.18250280,Primary,-0.023380,0.019023,257.9945,237.95358583,19.19581446,390.6624,-352.2975,2,186,59,0.521,0.335,-1.00000000,+1.76055276,+1.92521167,-2.00000000
19,237.94803000,19.17042000,Primary,-0.033434,-0.014251,257.9945,237.95358583,19.19581446,467.4801,-399.9503,1,89,136,0.568,0.720,-1.00000000,-1.00000000,-1.00000000,-2.00000000
29,237.93853000,19.20366000,Primary,0.014983,-0.016899,257.9945,237.95358583,19.19581446,379.1021,-486.8661,3,100,123,0.409,0.721,-1.00000000,+2.73840284,+2.90263796,-2.00000000
61,237.93533330,19.19654170,Primary,0.006056,-0.022997,257.9945,237.95358583,19.19581446,406.7641,-483.7473,3,15,93,0.389,0.752,-1.00000000,+2.49624562,+2.66038847,-2.00000000
76,237.94375000,19.21072220,Primary,0.023300,-0.008215,257.9945,237.95358583,19.19581446,348.2377,-483.8946,3,179,166,0.612,0.396,-1.00000000,+2.96736097,-2.00000000,-2.00000000
93,237.95745830,19.21324440,Primary,0.023055,0.010051,257.9945,237.95358583,19.19581446,317.4361,-447.7597,4,177,15,0.257,0.299,-1.00000000,+2.98319554,-2.00000000,-2.00000000
101,237.96975000,19.19414170,Primary,-0.006813,0.020324,257.9945,237.95358583,19.19581446,356.8099,-377.5732,2,344,65,0.327,0.749,-1.00000000,+2.20223069,+2.36690021,-2.00000000
118,237.98375000,19.19303610,Primary,-0.012272,0.038138,257.9945,237.95358583,19.19581446,336.8889,-334.1574,2,292,153,0.274,0.278,-1.00000000,+2.07237768,+2.23719192,-2.00000000
128,237.92133330,19.20178060,Primary,0.017082,-0.039160,257.9945,237.95358583,19.19581446,413.7093,-534.4750,3,120,14,0.451,0.362,-1.00000000,+2.76462007,+2.92849469,-2.00000000
162,237.98579170,19.17781940,Primary,-0.033961,0.036401,257.9945,237.95358583,19.19581446,381.1921,-301.1920,2,85,144,0.683,0.714,-1.00000000,-1.00000000,-1.00000000,-2.00000000
170,237.97712500,19.18225560,Primary,-0.025360,0.026437,257.9945,237.95358583,19.19581446,381.7617,-334.7072,2,167,95,0.637,0.761,-1.00000000,+1.71355128,+1.87827444,-2.00000000
174,237.97612500,19.19105560,Primary,-0.012880,0.027674,257.9945,237.95358583,19.19581446,355.8377,-353.2349,2,286,101,0.514,0.858,-1.00000000,+2.04689860,+2.21163130,-2.00000000
175,237.97541670,19.21785830,Primary,0.024541,0.034575,257.9945,237.95358583,19.19581446,272.9741,-402.7429,4,191,135,0.366,0.818,-1.00000000,+3.04762244,-2.00000000,-2.00000000
176,237.97620830,19.19629720,Primary,-0.005629,0.029298,257.9945,237.95358583,19.19581446,339.2622,-362.2600,2,355,109,0.577,0.852,-1.00000000,+2.24094009,+2.40568614,-2.00000000
183,237.93162500,19.19925280,Primary,0.010804,-0.026913,257.9945,237.95358583,19.19581446,404.4537,-499.5240,3,60,74,0.622,0.519,-1.00000000,+2.61558580,+2.77966785,-2.00000000
184,237.93316670,19.18396390,Primary,-0.010639,-0.029307,257.9945,237.95358583,19.19581446,449.8284,-467.9255,1,306,62,0.755,0.799,-1.00000000,+2.04871368,+2.21275592,-2.00000000
185,237.93433330,19.21542780,Primary,0.032327,-0.018808,257.9945,237.95358583,19.19581446,349.2036,-520.1021,3,265,114,0.628,0.366,-1.00000000,-2.00000000,-2.00000000,-2.00000000
186,237.93433330,19.21542780,Contaminant,0.032327,-0.018808,257.9945,237.95358583,19.19581446,349.2036,-520.1021,3,265,114,0.628,0.366,-1.00000000,-2.00000000,-2.00000000,-2.00000000
207,237.94157000,19.20823000,Filler,0.020454,-0.011714,257.9945,237.95358583,19.19581446,359.6937,-485.9437,3,152,149,0.516,0.202,-1.00000000,+2.88852549,+3.05283523,-2.00000000
216,237.98033000,19.20542000,Filler,0.005898,0.037301,257.9945,237.95358583,19.19581446,303.7702,-366.1919,4,13,149,0.763,0.192,-1.00000000,+2.55404615,+2.71885443,-2.00000000
330,237.94157000,19.20823000,Contaminant,0.020454,-0.011714,257.9945,237.95358583,19.19581446,359.6937,-485.9437,3,152,149,0.516,0.202,-1.00000000,+2.88852549,+3.05283523,-2.00000000
401,237.94270830,19.17541670,Filler,-0.025061,-0.019620,257.9945,237.95358583,19.19581446,460.6986,-424.5496,1,169,110,0.343,0.363,-1.00000000,-1.00000000,+1.84478164,-2.00000000
431,237.95516670,19.21904720,Filler,0.031706,0.008813,257.9945,237.95358583,19.19581446,303.0657,-464.8080,4,259,9,0.669,0.225,-1.00000000,-2.00000000,-2.00000000,-2.00000000
493,237.98433330,19.17212220,Filler,-0.041429,0.032882,257.9945,237.95358583,19.19581446,401.4935,-295.4328,2,14,127,0.561,0.410,-1.00000000,-1.00000000,-1.00000000,-2.00000000
498,237.97333330,19.19345000,Filler,-0.008775,0.024753,257.9945,237.95358583,19.19581446,352.9931,-365.7379,2,325,87,0.621,0.513,-1.00000000,+2.15327907,+2.31798816,-2.00000000
