ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
8,237.97491670,19.17828890,Primary,-0.030226,0.022653,257.9945,237.95343363,19.19578389,397.5396,-333.8342,2,121,77,0.304,0.159,-1.00000000,-1.00000000,+1.74686825,-2.00000000
12,237.97137500,19.17622220,Primary,-0.032077,0.017493,257.9945,237.95343363,19.19578389,409.9373,-340.6682,2,103,51,0.684,0.801,-1.00000000,-1.00000000,-1.00000000,-2.00000000
13,237.97133330,19.18250280,Primary,-0.023381,0.019229,257.9945,237.95343363,19.19578389,390.3123,-351.9008,2,186,60,0.513,0.343,-1.00000000,+1.76072502,+1.92538583,-2.00000000
19,237.94803000,19.17042000,Primary,-0.033436,-0.014049,257.9945,237.95343363,19.19578389,467.1300,-399.5536,1,89,137,0.556,0.713,-1.00000000,-1.00000000,-1.00000000,-2.00000000
29,237.93853000,19.20366000,Primary,0.014984,-0.016697,257.9945,237.95343363,19.19578389,378.7520,-486.4694,3,100,124,0.414,0.714,-1.00000000,+2.73865390,+2.90289187,-2.00000000
61,237.93533330,19.19654170,Primary,0.006056,-0.022796,257.9945,237.95343363,19.19578389,406.4140,-483.3506,3,15,94,0.391,0.742,-1.00000000,+2.49649334,+2.66063929,-2.00000000
76,237.94375000,19.21072220,Primary,0.023301,-0.008012,257.9945,237.95343363,19.19578389,347.8876,-483.4979,3,179,167,0.620,0.393,-1.00000000,+2.96761084,-2.00000000,-2.00000000
93,237.95745830,19.21324440,Primary,0.023055,0.010255,257.9945,237.95343363,19.19578389,317.0860,-447.3630,4,177,16,0.264,0.303,-1.00000000,+2.98342276,-2.00000000,-2.00000000
101,237.96975000,19.19414170,Primary,-0.006813,0.020529,257.9945,237.95343363,19.19578389,356.4598,-377.1765,2,344,66,0.324,0.758,-1.00000000,+2.20241737,+2.36708879,-2.00000000
118,237.98375000,19.19303610,Primary,-0.012272,0.038344,257.9945,237.95343363,19.19578389,336.5388,-333.7607,2,292,154,0.270,0.294,-1.00000000,+2.07253957,+2.23735523,-2.00000000
128,237.92133330,19.20178060,Primary,0.017082,-0.038960,257.9945,237.95343363,19.19578389,413.3592,-534.0783,3,120,15,0.457,0.344,-1.00000000,+2.76489830,+2.92877650,-2.00000000
162,237.98579170,19.17781940,Primary,-0.033962,0.036608,257.9945,237.95343363,19.19578389,380.8421,-300.7953,2,85,145,0.674,0.728,-1.00000000,-1.00000000,-1.00000000,-2.00000000
170,237.97712500,19.18225560,Primary,-0.025361,0.026642,257.9945,237.95343363,19.19578389,381.4116,-334.3105,2,167,96,0.629,0.772,-1.00000000,+1.71371400,+1.87843883,-2.00000000
