ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
17,237.97374000,19.20684000,Primary,0.030135,0.017555,257.9984,237.96539748,19.18341806,291.1805,-445.1244,4,244,52,0.687,0.184,-1.00000000,-2.00000000,-2.00000000,-2.00000000
20,237.96134000,19.16064000,Primary,-0.030265,-0.011611,257.9984,237.96539748,19.18341806,456.7709,-400.1345,1,119,149,0.748,0.700,-1.00000000,-1.00000000,+1.71423757,-2.00000000
27,237.93506000,19.19022000,Primary,0.017707,-0.036517,257.9984,237.96539748,19.18341806,407.9014,-530.2854,3,126,27,0.400,0.349,-1.00000000,+2.78471088,+2.94863248,-2.00000000
32,237.96090000,19.15512000,Primary,-0.037723,-0.013711,257.9984,237.96539748,19.18341806,474.8162,-391.6751,1,48,139,0.713,0.365,-1.00000000,-1.00000000,-1.00000000,-2.00000000
42,237.99874000,19.16092000,Primary,-0.040515,0.036596,257.9984,237.96539748,19.18341806,393.3991,-289.8511,2,23,145,0.256,0.663,-1.00000000,-1.00000000,-1.00000000,-2.00000000
57,237.94845830,19.16682500,Primary,-0.018129,-0.026238,257.9984,237.96539748,19.18341806,458.8938,-449.2306,1,235,77,0.404,0.859,-1.00000000,+1.85602331,+2.02011538,-2.00000000
60,237.98904170,19.16480280,Primary,-0.032387,0.025132,257.9984,237.96539748,19.18341806,397.4318,-325.4453,2,100,89,0.706,0.338,-1.00000000,-1.00000000,-1.00000000,-2.00000000
69,237.93933330,19.18658060,Primary,0.011545,-0.032176,257.9984,237.96539748,19.18341806,412.1790,-511.1932,3,67,48,0.696,0.665,-1.00000000,+2.62808990,+2.79208469,-2.00000000
74,237.93966670,19.19145830,Primary,0.018157,-0.030357,257.9984,237.96539748,19.18341806,396.3251,-518.8306,3,130,57,0.674,0.612,-1.00000000,+2.80390477,+2.96793056,-2.00000000
79,237.94583330,19.18417780,Primary,0.006460,-0.024651,257.9984,237.96539748,19.18341806,408.8589,-487.6920,3,19,85,0.243,0.629,-1.00000000,+2.50529480,+2.66941237,-2.00000000
81,237.94779170,19.20006940,Primary,0.027806,-0.017587,257.9984,237.96539748,19.18341806,355.7513,-509.9936,3,222,120,0.551,0.360,-1.00000000,+3.07412505,-2.00000000,-2.00000000
83,237.94975000,19.15091940,Primary,-0.040301,-0.029023,257.9984,237.96539748,19.18341806,506.6165,-417.2768,1,24,64,0.225,0.131,-1.00000000,-1.00000000,-1.00000000,-2.00000000
151,237.99716670,19.17637220,Primary,-0.018649,0.038992,257.9984,237.96539748,19.18341806,347.5775,-321.8499,2,231,157,0.525,0.465,-1.00000000,+1.90235043,+2.06717062,-2.00000000
165,237.98404170,19.19901110,Primary,0.016460,0.028553,257.9984,237.96539748,19.18341806,298.5208,-400.7698,4,114,106,0.394,0.214,-1.00000000,+2.82753181,+2.99227309,-2.00000000
182,237.93233330,19.19452500,Primary,0.024352,-0.038707,257.9984,237.96539748,19.18341806,398.9533,-545.9733,3,189,16,0.703,0.594,-1.00000000,+2.95461941,-2.00000000,-2.00000000
188,237.94037500,19.19805830,Primary,0.027037,-0.027557,257.9984,237.96539748,19.18341806,374.4438,-528.4031,3,215,71,0.257,0.377,-1.00000000,+3.04154778,-2.00000000,-2.00000000
207,237.94157000,19.20823000,Filler,0.040698,-0.023085,257.9984,237.96539748,19.18341806,340.5487,-542.8500,3,345,93,0.373,0.364,-1.00000000,-2.00000000,-2.00000000,-2.00000000
272,237.97374000,19.20684000,Contaminant,0.030135,0.017555,257.9984,237.96539748,19.18341806,291.1805,-445.1244,4,244,52,0.687,0.184,-1.00000000,-2.00000000,-2.00000000,-2.00000000
273,237.97534000,19.19667000,Filler,0.015606,0.016635,257.9984,237.96539748,19.18341806,320.3987,-422.3971,4,106,47,0.287,0.643,-1.00000000,+2.79316998,+2.95780563,-2.00000000
282,237.98734000,19.18027000,Filler,-0.010476,0.027369,257.9984,237.96539748,19.18341806,351.7759,-357.8482,2,309,100,0.411,0.366,-1.00000000,+2.11093640,+2.27566767,-2.00000000
287,237.99248000,19.17427000,Filler,-0.020246,0.032299,257.9984,237.96539748,19.18341806,362.0009,-332.0107,2,216,124,0.335,0.574,-1.00000000,+1.85517204,+2.01994228,-2.00000000
330,237.94157000,19.20823000,Contaminant,0.040698,-0.023085,257.9984,237.96539748,19.18341806,340.5487,-542.8500,3,345,93,0.373,0.364,-1.00000000,-2.00000000,-2.00000000,-2.00000000
357,237.96900900,19.20924800,Filler,0.034749,0.012182,257.9984,237.96539748,19.18341806,291.5318,-463.3932,4,288,25,0.653,0.783,-1.00000000,-2.00000000,-2.00000000,-2.00000000
362,237.99498000,19.17291800,Filler,-0.022827,0.035153,257.9984,237.96539748,19.18341806,362.0625,-322.2147,2,191,138,0.742,0.598,-1.00000000,+1.78748512,+1.95227730,-2.00000000
