ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
7,237.96618000,19.17811000,Primary,0.025094,0.017495,257.9957,237.95708971,19.15817917,300.8761,-436.7271,4,196,51,0.669,0.881,-1.00000000,+3.04394174,-2.00000000,-2.00000000
22,237.93839000,19.18475000,Primary,0.041754,-0.016077,257.9957,237.95708971,19.15817917,326.4700,-530.7806,3,355,127,0.412,0.794,-1.00000000,-2.00000000,-2.00000000,-2.00000000
50,237.93198000,19.16245000,Primary,0.012810,-0.030659,257.9957,237.95708971,19.15817917,407.1118,-510.3386,3,79,56,0.741,0.119,-1.00000000,+2.66324329,+2.82726526,-2.00000000
58,237.95829170,19.17820560,Primary,0.027374,0.007386,257.9957,237.95708971,19.15817917,313.7535,-460.2602,4,218,2,0.412,0.205,-1.00000000,+3.09378076,-2.00000000,-2.00000000
65,237.93691670,19.18393060,Primary,0.041019,-0.018185,257.9957,237.95708971,19.15817917,331.5002,-533.6956,3,348,117,0.419,0.434,-1.00000000,-2.00000000,-2.00000000,-2.00000000
67,237.93883330,19.15821390,Primary,0.005105,-0.023206,257.9957,237.95708971,19.15817917,408.9505,-482.5461,3,6,92,0.327,0.728,-1.00000000,+2.47115254,+2.63529229,-2.00000000
70,237.93937500,19.15000560,Primary,-0.006338,-0.024853,257.9957,237.95708971,19.15817917,433.7880,-466.4272,1,347,84,0.703,0.689,-1.00000000,+2.16714787,+2.33126211,-2.00000000
78,237.94575000,19.13944720,Primary,-0.022641,-0.019743,257.9957,237.95708971,19.15817917,456.2508,-428.8702,1,192,109,0.394,0.764,-1.00000000,+1.74405396,+1.90824735,-2.00000000
80,237.94679170,19.16485000,Primary,0.012062,-0.011194,257.9957,237.95708971,19.15817917,374.8460,-470.7051,3,72,151,0.570,0.748,-1.00000000,+2.66792488,+2.83223987,-2.00000000
95,237.96054170,19.17431390,Primary,0.021377,0.009133,257.9957,237.95708971,19.15817917,322.1991,-446.7131,4,161,10,0.276,0.786,-1.00000000,+2.93770480,-2.00000000,-2.00000000
98,237.96370830,19.17715560,Primary,0.024447,0.014034,257.9957,237.95708971,19.15817917,307.9980,-442.3599,4,190,34,0.508,0.872,-1.00000000,+3.02352548,-2.00000000,-2.00000000
99,237.96370830,19.17715560,Contaminant,0.024447,0.014034,257.9957,237.95708971,19.15817917,307.9980,-442.3599,4,190,34,0.508,0.872,-1.00000000,+3.02352548,-2.00000000,-2.00000000
102,237.96675000,19.17797780,Primary,0.024755,0.018190,257.9957,237.95708971,19.15817917,300.3384,-434.8050,4,193,55,0.441,0.298,-1.00000000,+3.03649378,-2.00000000,-2.00000000
154,237.98916670,19.14696940,Primary,-0.024519,0.038194,257.9957,237.95708971,19.15817917,360.1164,-313.5560,2,175,153,0.613,0.539,-1.00000000,+1.74502194,+1.90983653,-2.00000000
155,237.98812500,19.14675560,Primary,-0.024522,0.036779,257.9957,237.95708971,19.15817917,362.5278,-316.2634,2,175,146,0.596,0.584,-1.00000000,+1.74395931,+1.90876353,-2.00000000
158,237.98629170,19.13811940,Primary,-0.035967,0.031922,257.9957,237.95708971,19.15817917,392.6717,-306.4160,2,66,122,0.587,0.701,-1.00000000,-1.00000000,-1.00000000,-2.00000000
169,237.98191670,19.15222500,Primary,-0.015182,0.030300,257.9957,237.95708971,19.15817917,355.7526,-344.3289,2,264,114,0.575,0.758,-1.00000000,+1.98766911,+2.15242338,-2.00000000
199,237.96863750,19.18447750,Filler,0.033248,0.022537,257.9957,237.95708971,19.15817917,276.8032,-440.7109,4,274,76,0.327,0.668,-1.00000000,-2.00000000,-2.00000000,-2.00000000
