ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
1,237.96474000,19.18521000,Primary,0.010461,-0.028561,258.0058,237.98789215,19.18225446,407.9747,-502.1987,3,57,66,0.358,0.422,-1.00000000,+2.60525155,+2.76930714,-2.00000000
2,237.97402000,19.18614000,Primary,0.009199,-0.016540,258.0058,237.98789215,19.18225446,389.5559,-476.3595,3,45,125,0.310,0.481,-1.00000000,+2.58697557,+2.75121617,-2.00000000
3,237.96366000,19.18492000,Primary,0.010357,-0.030008,258.0058,237.98789215,19.18225446,410.6882,-504.8844,3,56,59,0.377,0.314,-1.00000000,+2.60067892,+2.76471114,-2.00000000
4,237.99200000,19.20727780,Primary,0.033501,0.012577,258.0058,237.98789215,19.18225446,293.2362,-460.5077,4,276,27,0.762,0.725,-1.00000000,-2.00000000,-2.00000000,-2.00000000
31,237.95704000,19.18278000,Primary,0.009228,-0.038959,258.0058,237.98789215,19.18225446,428.4570,-520.7066,3,45,15,0.643,0.339,-1.00000000,+2.55876517,+2.72264314,-2.00000000
39,237.96546000,19.17103000,Primary,-0.009224,-0.031674,258.0058,237.98789215,19.18225446,451.2386,-474.9863,1,320,51,0.243,0.173,-1.00000000,+2.08473992,+2.24874473,-2.00000000
53,238.01416670,19.16702780,Primary,-0.028439,0.029509,258.0058,237.98789215,19.18225446,382.3972,-323.6486,2,138,110,0.298,0.853,-1.00000000,-1.00000000,+1.79967320,-2.00000000
56,238.00912920,19.18010220,Primary,-0.008893,0.026745,258.0058,237.98789215,19.18225446,349.8233,-361.7024,2,324,97,0.490,0.302,-1.00000000,+2.15227628,+2.31700253,-2.00000000
106,237.97025000,19.19470280,Primary,0.022024,-0.018856,258.0058,237.98789215,19.18225446,369.0026,-502.6705,3,167,114,0.487,0.118,-1.00000000,+2.92095780,+3.08516622,-2.00000000
111,237.97116670,19.19502220,Primary,0.022216,-0.017601,258.0058,237.98789215,19.18225446,366.4697,-500.5206,3,169,120,0.309,0.285,-1.00000000,+2.92803550,+3.09226179,-2.00000000
117,238.00895830,19.17614720,Primary,-0.014331,0.025384,258.0058,237.98789215,19.18225446,362.5095,-355.2102,2,272,90,0.694,0.602,-1.00000000,+2.00590372,+2.17061782,-2.00000000
127,238.02062500,19.16478890,Primary,-0.033371,0.037247,258.0058,237.98789215,19.18225446,378.6216,-300.5601,2,91,148,0.305,0.873,-1.00000000,-1.00000000,-1.00000000,-2.00000000
139,238.01100000,19.21136940,Primary,0.034018,0.038316,258.0058,237.98789215,19.18225446,248.6614,-411.4896,4,281,154,0.635,0.213,-1.00000000,-2.00000000,-2.00000000,-2.00000000
171,237.98125000,19.16296670,Primary,-0.024734,-0.013921,258.0058,237.98789215,19.18225446,450.1417,-413.9545,1,172,138,0.433,0.362,-1.00000000,-1.00000000,+1.85897160,-2.00000000
215,237.97176000,19.15904000,Filler,-0.027448,-0.027062,258.0058,237.98789215,19.18225446,478.3117,-435.1182,1,146,73,0.637,0.791,-1.00000000,-1.00000000,+1.77320182,-2.00000000
233,238.01131000,19.16113000,Filler,-0.035789,0.024130,258.0058,237.98789215,19.18225446,405.6640,-321.6727,2,68,84,0.306,0.409,-1.00000000,-1.00000000,-1.00000000,-2.00000000
286,237.99104000,19.20554000,Filler,0.031356,0.010833,258.0058,237.98789215,19.18225446,300.2891,-460.2759,4,256,19,0.338,0.153,-1.00000000,-2.00000000,-2.00000000,-2.00000000
291,237.99568000,19.21032000,Filler,0.036716,0.018206,258.0058,237.98789215,19.18225446,277.5490,-454.9935,4,307,55,0.379,0.390,-1.00000000,-2.00000000,-2.00000000,-2.00000000
295,238.00512000,19.17761000,Filler,-0.011226,0.020844,258.0058,237.98789215,19.18225446,364.3377,-369.1655,2,302,68,0.285,0.298,-1.00000000,+2.08568525,+2.25036025,-2.00000000
297,238.00669000,19.16437000,Filler,-0.029999,0.019082,258.0058,237.98789215,19.18225446,403.2272,-341.0888,2,123,59,0.474,0.614,-1.00000000,-1.00000000,+1.74946284,-2.00000000
304,238.01486000,19.16727000,Filler,-0.028300,0.030477,258.0058,237.98789215,19.18225446,380.4790,-322.0240,2,139,115,0.622,0.609,-1.00000000,-1.00000000,+1.80325830,-2.00000000
307,238.01765000,19.16101000,Filler,-0.037757,0.032306,258.0058,237.98789215,19.18225446,395.4427,-302.6834,2,49,124,0.536,0.585,-1.00000000,-1.00000000,-1.00000000,-2.00000000
365,238.00340300,19.16223100,Filler,-0.032022,0.014237,258.0058,237.98789215,19.18225446,415.4277,-347.0392,2,104,35,0.218,0.804,-1.00000000,-1.00000000,-1.00000000,-2.00000000
480,237.97158330,19.16833890,Filler,-0.014630,-0.024687,258.0058,237.98789215,19.18225446,449.4474,-452.0895,1,268,85,0.724,0.489,-1.00000000,+1.94904649,+2.11316419,-2.00000000
545,238.01908330,19.15953330,Filler,-0.040207,0.033745,258.0058,237.98789215,19.18225446,397.6767,-295.8253,2,26,131,0.198,0.653,-1.00000000,-1.00000000,-1.00000000,-2.00000000
561,238.00841670,19.16995830,Filler,-0.022755,0.022907,258.0058,237.98789215,19.18225446,382.8195,-345.8631,2,192,78,0.462,0.418,-1.00000000,+1.78053677,+1.94523036,-2.00000000
