group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,C6,150,150,150,,,0,2.8300,True,,,237.9365000,19.1758000,15:51:44.760,+19:10:32.880,circle,,blue,C6,2.83,color=blue  width=2 text={C6} comment={2.83},30
Primary,C7,150,150,150,,,0,2.8430,True,,,237.9385300,19.2036600,15:51:45.247,+19:12:13.176,circle,,blue,C7,2.843,color=blue  width=2 text={C7} comment={2.843},31
Primary,C12,150,150,150,,,0,2.8372,True,,,237.9556700,19.1645900,15:51:49.361,+19:09:52.524,circle,,blue,C12,2.8372,color=blue  width=2 text={C12} comment={2.8372},32
Primary,C13,150,150,150,,,0,2.8393,True,,,237.9570400,19.1827800,15:51:49.690,+19:10:58.008,circle,,blue,C13,2.8393 in LAB33,color=blue  width=2 text={C13} comment={2.8393 in LAB33},33
Primary,C14,150,150,150,,,0,2.8430,True,,,237.9609000,19.1551200,15:51:50.616,+19:09:18.432,circle,,blue,C14,2.843,color=blue  width=2 text={C14} comment={2.843},34
Primary,C15,150,150,150,,,0,2.8490,True,,,237.9639500,19.1721000,15:51:51.348,+19:10:19.560,circle,,blue,C15,2.849,color=blue  width=2 text={C15} comment={2.849},35
Primary,C24,150,150,150,,,0,2.8280,True,,,238.0234000,19.2198900,15:52:05.616,+19:13:11.604,circle,,blue,C24,2.828,color=blue  width=2 text={C24} comment={2.828},36
Primary,D4,150,150,150,,,0,2.8580,True,,,237.9332500,19.1943600,15:51:43.980,+19:11:39.696,circle,,blue,D4,2.858,color=blue  width=2 text={D4} comment={2.858},37
Primary,D6,150,150,150,,,0,2.8420,True,,,237.9383000,19.1514600,15:51:45.192,+19:09:05.256,circle,,blue,D6,2.842,color=blue  width=2 text={D6} comment={2.842},38
Primary,D9,150,150,150,,,0,2.8460,True,,,237.9492100,19.1372700,15:51:47.810,+19:08:14.172,circle,,blue,D9,2.846,color=blue  width=2 text={D9} comment={2.846},39
Primary,D11,150,150,150,,,0,2.8390,True,,,237.9573500,19.1508200,15:51:49.764,+19:09:02.952,circle,,blue,D11,2.839,color=blue  width=2 text={D11} comment={2.839},40
Primary,D13,150,150,150,,,0,2.8440,True,,,237.9654600,19.1710300,15:51:51.710,+19:10:15.708,circle,,blue,D13,2.844,color=blue  width=2 text={D13} comment={2.844},41
Primary,D14,150,150,150,,,0,2.8506,True,,,237.9719400,19.1836600,15:51:53.266,+19:11:01.176,circle,,blue,D14,2.8506,color=blue  width=2 text={D14} comment={2.8506},42
Primary,D17,150,150,150,,,0,2.8270,True,,,237.9893400,19.1840100,15:51:57.442,+19:11:02.436,circle,,blue,D17,2.827,color=blue  width=2 text={D17} comment={2.827},43
Primary,D18,150,150,150,,,0,2.8461,True,,,237.9987400,19.1609200,15:51:59.698,+19:09:39.312,circle,,blue,D18,2.8461,color=blue  width=2 text={D18} comment={2.8461},44
Primary,D19,150,150,150,,,0,2.8460,True,,,238.0011200,19.1613000,15:52:00.269,+19:09:40.680,circle,,blue,D19,2.846,color=blue  width=2 text={D19} comment={2.846},45
Primary,D20,150,150,150,,,0,2.8274,True,,,238.0020200,19.1743200,15:52:00.485,+19:10:27.552,circle,,blue,D20,2.8274,color=blue  width=2 text={D20} comment={2.8274},46
Primary,D22,150,150,150,,,0,2.8787,True,,,238.0067417,19.1518389,15:52:01.618,+19:09:06.620,circle,,green,D22,2.87868,color=green width=2 text={D22} comment={2.87868},47
Primary,D23,150,150,150,,,0,2.8950,True,,,238.0156000,19.1567900,15:52:03.744,+19:09:24.444,circle,,blue,D23,2.895,color=blue  width=2 text={D23} comment={2.895},48
Primary,D25,150,150,150,,,0,2.8270,True,,,238.0333200,19.1488400,15:52:07.997,+19:08:55.824,circle,,blue,D25,2.827,color=blue  width=2 text={D25} comment={2.827},49
