name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
LAE1100,237.9896208,19.0669856,15:51:57.509,+19:04:01.148,point,cross,cyan,'LAE1100',,point=cross 14 color=cyan width=2 text={'LAE1100'},43
LAE1102,237.8382375,19.0667939,15:51:21.177,+19:04:00.458,point,cross,cyan,'LAE1102',,point=cross 14 color=cyan width=2 text={'LAE1102'},44
LAE1104,237.8430333,19.0678044,15:51:22.328,+19:04:04.096,point,cross,cyan,'LAE1104',,point=cross 14 color=cyan width=2 text={'LAE1104'},45
LAE1108,238.0604792,19.0687067,15:52:14.515,+19:04:07.344,point,cross,cyan,'LAE1108',,point=cross 14 color=cyan width=2 text={'LAE1108'},46
LAE1109,237.8167958,19.0678772,15:51:16.031,+19:04:04.358,point,cross,cyan,'LAE1109',,point=cross 14 color=cyan width=2 text={'LAE1109'},47
LAE1114,237.8227208,19.0704886,15:51:17.453,+19:04:13.759,point,cross,cyan,'LAE1114',,point=cross 14 color=cyan width=2 text={'LAE1114'},48
LAE1117,237.9033750,19.0694900,15:51:36.810,+19:04:10.164,point,cross,cyan,'LAE1117',,point=cross 14 color=cyan width=2 text={'LAE1117'},49
LAE1118,237.9651125,19.0711164,15:51:51.627,+19:04:16.019,point,cross,cyan,'LAE1118',,point=cross 14 color=cyan width=2 text={'LAE1118'},50
LAE1125,238.0379417,19.0722922,15:52:09.106,+19:04:20.252,point,cross,cyan,'LAE1125',,point=cross 14 color=cyan width=2 text={'LAE1125'},51
LAE1126,237.9845750,19.0741669,15:51:56.298,+19:04:27.001,point,cross,cyan,'LAE1126',,point=cross 14 color=cyan width=2 text={'LAE1126'},52
LAE1130,237.9720375,19.0751819,15:51:53.289,+19:04:30.655,point,cross,cyan,'LAE1130',,point=cross 14 color=cyan width=2 text={'LAE1130'},53
LAE1136,237.8179167,19.0754894,15:51:16.300,+19:04:31.762,point,cross,cyan,'LAE1136',,point=cross 14 color=cyan width=2 text={'LAE1136'},54
LAE1138,238.0759333,19.0762428,15:52:18.224,+19:04:34.474,point,cross,cyan,'LAE1138',,point=cross 14 color=cyan width=2 text={'LAE1138'},55
LAE1141,238.0499708,19.0764839,15:52:11.993,+19:04:35.342,point,cross,cyan,'LAE1141',,point=cross 14 color=cyan width=2 text={'LAE1141'},56
LAE1142,237.8299750,19.0766269,15:51:19.194,+19:04:35.857,point,cross,cyan,'LAE1142',,point=cross 14 color=cyan width=2 text={'LAE1142'},57
LAE1152,238.0459958,19.0806289,15:52:11.039,+19:04:50.264,point,cross,cyan,'LAE1152',,point=cross 14 color=cyan width=2 text={'LAE1152'},58
