name,RA,Dec,comments
LAE1229,238.0046208,19.0999939, point=cross 14 color=cyan width=2
LAE1233,237.9099458,19.1006464, point=cross 14 color=cyan width=2
LAE1237,237.9835583,19.1014650, point=cross 14 color=cyan width=2
LAE1241,237.8000833,19.1025192, point=cross 14 color=cyan width=2
LAE1243,237.9235917,19.1027811, point=cross 14 color=cyan width=2
LAE1245,237.8431792,19.1032606, point=cross 14 color=cyan width=2
LAE1246,237.9098708,19.1042108, point=cross 14 color=cyan width=2
LAE1247,237.9738583,19.1034542, point=cross 14 color=cyan width=2
LAE1252,237.9833583,19.1027389, point=cross 14 color=cyan width=2
LAE1253,237.9875958,19.1049847, point=cross 14 color=cyan width=2
LAE1260,238.0185208,19.1067800, point=cross 14 color=cyan width=2
LAE1263,238.0438917,19.1076769, point=cross 14 color=cyan width=2
LAE1266,237.8169750,19.1082892, point=cross 14 color=cyan width=2
LAE1267,237.7836167,19.1079472, point=cross 14 color=cyan width=2
LAE1281,238.0273208,19.1112831, point=cross 14 color=cyan width=2
LAE1282,237.8950250,19.1117903, point=cross 14 color=cyan width=2
LAE1288,237.9296375,19.1130831, point=cross 14 color=cyan width=2
LAE1291,237.8017042,19.1138919, point=cross 14 color=cyan width=2
LAE1292,237.8797125,19.1141133, point=cross 14 color=cyan width=2
LAE1294,237.8375083,19.1150675, point=cross 14 color=cyan width=2
LAE1296,237.9375917,19.1159336, point=cross 14 color=cyan width=2
LAE1299,237.9743750,19.1158092, point=cross 14 color=cyan width=2
LAE1301,238.0540375,19.1165072, point=cross 14 color=cyan width=2
LAE1302,237.8914958,19.1165192, point=cross 14 color=cyan width=2
LAE1308,237.9330000,19.1178914, point=cross 14 color=cyan width=2
LAE1309,237.9483333,19.1177153, point=cross 14 color=cyan width=2
LAE1318,237.7873250,19.1194183, point=cross 14 color=cyan width=2
LAE1327,237.9541292,19.1208175, point=cross 14 color=cyan width=2
LAE1329,237.7874167,19.1209197, point=cross 14 color=cyan width=2
LAE1331,237.9665875,19.1229619, point=cross 14 color=cyan width=2
LAE1332,238.0103792,19.1234247, point=cross 14 color=cyan width=2
LAE1335,237.9486208,19.1235297, point=cross 14 color=cyan width=2
LAE1339,237.9588083,19.1253647, point=cross 14 color=cyan width=2
LAE1340,237.9689042,19.1246550, point=cross 14 color=cyan width=2
LAE1342,237.9422083,19.1255325, point=cross 14 color=cyan width=2
LAE1345,238.1093958,19.1266897, point=cross 14 color=cyan width=2
LAE1349,237.9693750,19.1268047, point=cross 14 color=cyan width=2
LAE1353,237.8794625,19.1279578, point=cross 14 color=cyan width=2
LAE1358,237.8753500,19.1286939, point=cross 14 color=cyan width=2
LAE1359,238.1215875,19.1283950, point=cross 14 color=cyan width=2
LAE1367,237.9712792,19.1295622, point=cross 14 color=cyan width=2
LAE1369,237.9726333,19.1293428, point=cross 14 color=cyan width=2
LAE1372,238.0782208,19.1297025, point=cross 14 color=cyan width=2
LAE1376,238.0537375,19.1322417, point=cross 14 color=cyan width=2
LAE1388,237.9329958,19.1336261, point=cross 14 color=cyan width=2
LAE1389,238.0504167,19.1344417, point=cross 14 color=cyan width=2
LAE1390,238.0596208,19.1343864, point=cross 14 color=cyan width=2
LAE1393,237.8915000,19.1367828, point=cross 14 color=cyan width=2
LAE1397,238.1296125,19.1381761, point=cross 14 color=cyan width=2
LAE1400,237.9862250,19.1381300, point=cross 14 color=cyan width=2
LAE1406,237.9413792,19.1394869, point=cross 14 color=cyan width=2
LAE1408,237.8593500,19.1403636, point=cross 14 color=cyan width=2
LAE1409,237.8519917,19.1400781, point=cross 14 color=cyan width=2
LAE1411,237.8885917,19.1402200, point=cross 14 color=cyan width=2
LAE1413,238.0638375,19.1405367, point=cross 14 color=cyan width=2
LAE1418,237.9506542,19.1416914, point=cross 14 color=cyan width=2
LAE1419,238.0700625,19.1426133, point=cross 14 color=cyan width=2
LAE1420,238.0911500,19.1435933, point=cross 14 color=cyan width=2
LAE1422,238.0915125,19.1434439, point=cross 14 color=cyan width=2
LAE1425,237.8268333,19.1442947, point=cross 14 color=cyan width=2
LAE1426,238.0607083,19.1403914, point=cross 14 color=cyan width=2
LAE1427,237.8278750,19.1439914, point=cross 14 color=cyan width=2
LAE1428,237.9617333,19.1440642, point=cross 14 color=cyan width=2
LAE1431,237.8318375,19.1458764, point=cross 14 color=cyan width=2
LAE1434,237.9553667,19.1456386, point=cross 14 color=cyan width=2
LAE1436,237.9890667,19.1469222, point=cross 14 color=cyan width=2
LAE1439,237.9920042,19.1469881, point=cross 14 color=cyan width=2
LAE1441,238.0042708,19.1473167, point=cross 14 color=cyan width=2
LAE1449,237.9894542,19.1493125, point=cross 14 color=cyan width=2
LAE1451,238.0120000,19.1496892, point=cross 14 color=cyan width=2
LAE1453,237.9392542,19.1499275, point=cross 14 color=cyan width=2
LAE1460,238.1138417,19.1503675, point=cross 14 color=cyan width=2
LAE1461,237.9102917,19.1511250, point=cross 14 color=cyan width=2
LAE1462,237.9496750,19.1508764, point=cross 14 color=cyan width=2
LAE1469,237.9975375,19.1530106, point=cross 14 color=cyan width=2
LAE1470,238.0132667,19.1525203, point=cross 14 color=cyan width=2
LAE1473,237.8249625,19.1540881, point=cross 14 color=cyan width=2
LAE1477,237.9075125,19.1549006, point=cross 14 color=cyan width=2
LAE1478,238.0513292,19.1552056, point=cross 14 color=cyan width=2
LAE1480,237.9958167,19.1556803, point=cross 14 color=cyan width=2
LAE1482,237.8493875,19.1544761, point=cross 14 color=cyan width=2
LAE1483,238.0141958,19.1562717, point=cross 14 color=cyan width=2
LAE1486,237.9360708,19.1567978, point=cross 14 color=cyan width=2
LAE1499,238.1062125,19.1594439, point=cross 14 color=cyan width=2
LAE1500,238.0692375,19.1596964, point=cross 14 color=cyan width=2
LAE1503,237.9387417,19.1581475, point=cross 14 color=cyan width=2
LAE1505,237.9082208,19.1603019, point=cross 14 color=cyan width=2
LAE1508,237.9389333,19.1605939, point=cross 14 color=cyan width=2
LAE1510,237.8658792,19.1603194, point=cross 14 color=cyan width=2
LAE1512,237.7867625,19.1599742, point=cross 14 color=cyan width=2
LAE1515,237.9175333,19.1612350, point=cross 14 color=cyan width=2
LAE1517,238.0440208,19.1612067, point=cross 14 color=cyan width=2
LAE1524,237.9669750,19.1618522, point=cross 14 color=cyan width=2
LAE1525,238.0010667,19.1611486, point=cross 14 color=cyan width=2
LAE1527,237.9987083,19.1608761, point=cross 14 color=cyan width=2
LAE1528,237.8685333,19.1616869, point=cross 14 color=cyan width=2
LAE1530,237.9141833,19.1618367, point=cross 14 color=cyan width=2
LAE1533,237.9437708,19.1628917, point=cross 14 color=cyan width=2
LAE1534,238.1019667,19.1621583, point=cross 14 color=cyan width=2
LAE1535,237.9410833,19.1624486, point=cross 14 color=cyan width=2
LAE1536,237.9038958,19.1630353, point=cross 14 color=cyan width=2
LAE1537,237.9065958,19.1632186, point=cross 14 color=cyan width=2
LAE1539,237.8924458,19.1635519, point=cross 14 color=cyan width=2
LAE1540,237.8618625,19.1633883, point=cross 14 color=cyan width=2
LAE1541,238.0043708,19.1632603, point=cross 14 color=cyan width=2
LAE1543,237.8695042,19.1642800, point=cross 14 color=cyan width=2
LAE1544,237.7847458,19.1634422, point=cross 14 color=cyan width=2
LAE1549,237.8314333,19.1645472, point=cross 14 color=cyan width=2
LAE1550,237.8247125,19.1626697, point=cross 14 color=cyan width=2
LAE1551,238.0205583,19.1647197, point=cross 14 color=cyan width=2
LAE1554,237.9889708,19.1647789, point=cross 14 color=cyan width=2
LAE1560,238.0294167,19.1664053, point=cross 14 color=cyan width=2
LAE1561,237.9841875,19.1657342, point=cross 14 color=cyan width=2
LAE1565,238.0089125,19.1652208, point=cross 14 color=cyan width=2
LAE1566,237.9483625,19.1667450, point=cross 14 color=cyan width=2
LAE1567,238.0761292,19.1676844, point=cross 14 color=cyan width=2
LAE1568,238.0441625,19.1677478, point=cross 14 color=cyan width=2
LAE1569,238.0694542,19.1615933, point=cross 14 color=cyan width=2
LAE1571,238.1161000,19.1679550, point=cross 14 color=cyan width=2
LAE1576,237.9750208,19.1682961, point=cross 14 color=cyan width=2
LAE1577,237.9110333,19.1679428, point=cross 14 color=cyan width=2
LAE1583,238.0913625,19.1698389, point=cross 14 color=cyan width=2
LAE1587,237.9565333,19.1705558, point=cross 14 color=cyan width=2
