RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Ude,zlya,zabs,zneb,type,comments,FULL_ID,SED_ID,stellar_mass,z_best
238.00563,19.21691,1391.4,1525.2,M21,Q1549,25.21,0.7,1.97,no,2.834,-2.0,-1.0,GAL,"""also GNB4473; nz; m7; not very impressive""",Q1549-M21,Q1549-M21,8261007900.0,2.834
238.01131,19.16113,443.9,1614.5,M22,Q1549,24.85,0.71,1.91,no,3.1588,3.149,3.1535,GAL,"""msf m1 5/16; nz; m6,m7,L2; v. strong Lya em double, 3.1588/3.1510""",Q1549-M22,Q1549-M22,5167122400.0,3.1535
238.02395,19.20243,1144.8,1819.6,M23,Q1549,24.91,0.67,2.14,no,-2.0,3.409,-1.0,GAL,"""z from mN1;check red side; floater at z=3.429""",Q1549-M23,Q1549-M23,8110343200.0,3.409
238.03341,19.18485,845.9,1971.2,M26,Q1549,23.87,1.04,2.38,no,-2.0,2.751,-1.0,GAL,"""mN2""",Q1549-M26,Q1549-M26,1595495600.0,2.751
237.92489,19.1395,80.2,221.9,M5,Q1549,25.12,0.66,1.96,no,2.936,2.931,-1.0,GAL,"""""",Q1549-M5,Q1549-M5,15558040000.0,2.931
237.93198,19.16245,469.6,337.1,M6,Q1549,25.49,0.63,1.71,no,2.8909,-2.0,-1.0,GAL,"""nz; m2; strong Lya abs @z=2.845""",Q1549-M6,Q1549-M6,4567942100.0,2.8909
237.92876,19.15909,412.7,285.1,MD1,Q1549,25.41,0.4,1.42,yes,2.7113,2.7055,-1.0,GAL,"""nz; m1+m2+m6; Lya em double, 2.7113/2.7016""",Q1549-MD1,Q1549-MD1,984973440.0,2.7055
237.96474,19.18521,854.7,865.6,MD10,Q1549,23.04,0.23,1.35,yes,2.853,-2.0,2.8513,QSO,"""also GNB2267; on QSO-W kcwi cube; zneb from [OIII] 4363 in mosfire H band spectrum""",Q1549-MD10,Q1549-MD10,8872631300.0,2.8513
237.96542,19.21405,1344.5,877.8,MD11,Q1549,24.83,0.36,1.44,yes,-2.0,2.354,-1.0,GAL,"""nz; z from noz2[ap1]""",Q1549-MD11,Q1549-MD11,2004703900.0,2.354
237.96618,19.17811,734.1,888.5,MD12,Q1549,24.87,0.38,1.78,yes,2.856,2.849,2.8495,GAL,"""also GNB 2427; double Lya (2.856/2.845);nirspec z is 2.8492""",Q1549-MD12,Q1549-MD12,3016541700.0,2.8495
237.97382,19.21129,1297.3,1012.9,MD16,Q1549,25.24,0.34,1.49,yes,-2.0,2.35,-1.0,GAL,"""mnoz1[ap2]""",Q1549-MD16,Q1549-MD16,1793585500.0,2.35
237.97402,19.18614,870.1,1015.1,MD17,Q1549,23.75,0.24,1.36,yes,2.848,2.843,-1.0,QSO,"""on kcwi QSO-E kcwi cube;also NB2079; nz; m3,m6; abs near em z; v. close to sightline""",Q1549-MD17,Q1549-MD17,49605636000.0,2.843
237.97569,19.19531,1025.8,1042.4,MD18,Q1549,25.17,-0.22,0.87,yes,2.5163,-2.0,2.5116,GAL,"""nz; m8""",Q1549-MD18,Q1549-MD18,2094574500.0,2.5116
237.97914,19.19683,1051.5,1098.0,MD19,Q1549,24.93,0.23,1.47,yes,2.694,2.693,-1.0,GAL,"""nz; m8""",Q1549-MD19,Q1549-MD19,719369600.0,2.693
237.97921,19.20914,1260.5,1099.6,MD20,Q1549,24.73,0.15,1.23,yes,2.5157,2.51,-1.0,GAL,"""nz; m7; xtra abs z=2.349""",Q1549-MD20,Q1549-MD20,2861681700.0,2.51
237.98574,19.16378,489.9,1202.9,MD21,Q1549,24.31,0.43,1.45,yes,2.5383,2.5318,2.5338,GAL,"""nz; m1""",Q1549-MD21,Q1549-MD21,59528090000.0,2.5338
237.98741,19.21195,1307.9,1231.7,MD22,Q1549,25.47,0.13,1.4,yes,2.602,-2.0,-1.0,GAL,"""nz; on 3 aes masks""",Q1549-MD22,Q1549-MD22,927726210.0,2.602
237.99208,19.13646,25.7,1303.8,MD23,Q1549,24.57,0.33,1.66,yes,2.8454,-2.0,-1.0,GAL,"""z observed as GNB4724""",Q1549-MD23,Q1549-MD23,595699330.0,2.8454
238.00078,19.14166,113.6,1444.2,MD25,Q1549,24.39,0.23,1.3,yes,2.541,-2.0,-1.0,GAL,"""ap1 on mN1""",Q1549-MD25,Q1549-MD25,3602981900.0,2.541
238.00469,19.18193,797.4,1508.7,MD26,Q1549,24.8,0.26,1.43,yes,-2.0,2.068,-1.0,GAL,"""nz; m8[ap1]; [ap2] has z=2.854""",Q1549-MD26,Q1549-MD26,4349343200.0,2.068
238.00091,19.20514,1191.7,1448.8,MD28,Q1549,23.42,-0.12,0.93,yes,2.54,-2.0,2.522,QSO,"""kcwi Q1549-MD28 cube, May 2025; zneb msfr 5/2025, Q1549_plume_K""",Q1549-MD28,Q1549-MD28,35608306000.0,2.522
238.00648,19.17213,630.9,1537.1,MD29,Q1549,25.24,0.38,1.49,yes,2.506,2.503,-1.0,GAL,"""nz; on noz1[ap2],noz3""",Q1549-MD29,Q1549-MD29,1587985500.0,2.503
237.93596,19.21221,1314.5,403.5,MD3,Q1549,24.41,0.41,1.49,yes,2.502,2.498,-1.0,GAL,"""nz; m1; poss add. system @z=2.351""",Q1549-MD3,Q1549-MD3,25056311000.0,2.498
238.01428,19.18811,902.0,1663.4,MD30,Q1549,24.73,0.51,1.7,yes,-2.0,2.745,-1.0,GAL,"""nz; m5""",Q1549-MD30,Q1549-MD30,4127797000.0,2.745
238.02151,19.18652,874.7,1779.7,MD31,Q1549,25.25,0.36,1.41,yes,-2.0,2.439,-1.0,GAL,"""nz; noz1,noz3avg""",Q1549-MD31,Q1549-MD31,5343843300.0,2.439
238.02396,19.20397,1171.0,1819.8,MD33,Q1549,25.3,0.22,1.63,yes,-2.0,2.487,-1.0,GAL,"""""",Q1549-MD33,Q1549-MD33,8183461900.0,2.487
238.02637,19.21347,1332.2,1858.9,MD34,Q1549,24.08,0.67,1.96,yes,-2.0,2.849,-1.0,GAL,"""""",Q1549-MD34,Q1549-MD34,19224895000.0,2.849
238.02918,19.14451,161.0,1901.6,MD35,Q1549,23.92,0.52,1.87,yes,-2.0,2.509,-1.0,GAL,"""""",Q1549-MD35,Q1549-MD35,4563291100.0,2.509
238.02894,19.14406,153.3,1897.7,MD36,Q1549,25.39,0.1,1.17,yes,-2.0,2.509,-2.0,GAL,"""mL2; msfr m1 5/16""",Q1549-MD36,Q1549-MD36,2640955400.0,2.509
238.03312,19.18388,829.5,1966.5,MD37,Q1549,24.94,0.14,1.23,yes,-2.0,2.226,-1.0,GAL,"""m6,m7,m8; z from m8""",Q1549-MD37,Q1549-MD37,6937837600.0,2.226
238.0342,19.19408,1002.6,1984.3,MD38,Q1549,24.06,0.3,1.4,yes,-2.0,2.757,-1.0,GAL,"""""",Q1549-MD38,Q1549-MD38,4789658600.0,2.757
237.93696,19.15472,338.1,417.0,MD4,Q1549,24.95,0.33,1.8,yes,2.5422,2.536,-1.0,GAL,"""nz; m8; poss serendip (ap2) @2.873""",Q1549-MD4,Q1549-MD4,1133504500.0,2.536
237.93839,19.18475,848.1,441.4,MD5,Q1549,25.06,0.51,1.99,yes,3.146,3.139,3.1426,GAL,"""zneb mosfire; nz; noz2[ap1],noz3""",Q1549-MD5,Q1549-MD5,8643428400.0,3.1426
237.94157,19.20823,1246.7,493.7,MD6,Q1549,24.03,0.44,1.49,yes,2.7417,2.733,-1.0,GAL,"""nz; m6; em poss @2.414 also""",Q1549-MD6,Q1549-MD6,2275053800.0,2.733
237.94803,19.17042,604.3,595.9,MD7,Q1549,25.12,0.27,1.66,yes,2.8571,2.851,2.8517,GAL,"""mosfire slit also has z=2.8499;nz; m8; wk abs; add. abs @2.239 (DLA)""",Q1549-MD7,Q1549-MD7,681575230.0,2.8517
237.96134,19.16064,437.6,809.8,MD9,Q1549,24.17,0.53,2.01,yes,2.852,2.843,-1.0,GAL,"""nz; m2 """,Q1549-MD9,Q1549-MD9,9817032700.0,2.843
237.97142,19.18245,807.7,970.6,NB1931,Q1549,26.08,0.33,1.79,no,2.8527,2.0,1.0,GAL,"strong lya - catalog z is off""",Q1549-NB1931,Q1549-NB1931,209934960.0,1.0
237.97352,19.1825,80.0,1007.0,QSO-E-CS17,Q1549,25.52,0.63,-0.01,yes,2.8535,-2.0,-1.0,GAL,""" strong lya""",Q1549-QSO-E-CS17,Q1549-QSO-E-CS17,4494802400.0,2.8535
237.97537,19.1804,77.0,1037.0,QSO-E-CS3,Q1549,24.94,0.47,-0.04,yes,2.1686,-2.0,-1.0,GAL,"""really just lya """,Q1549-QSO-E-CS3,Q1549-QSO-E-CS3,2271673100.0,2.1686
237.96104,19.18668,88.0,807.0,QSO-W-CS5,Q1549,24.13,0.47,0.33,yes,-2.0,1.8453,-1.0,GAL,""" probable CIV doublet      """,Q1549-QSO-W-CS5,Q1549-QSO-W-CS5,1508394600.0,1.8453
238.02007,19.21757,1402.1,1757.7,RK102,Q1549,25.08,1.11,1.04,yes,-1.0,-1.0,1.4572,GAL,"""zneb msfr 5/2014""",Q1549-RK102,Q1549-RK102,29906610000.0,1.4572
237.98684,19.19443,1010.4,1221.8,RK107,Q1549,25.48,0.52,0.49,yes,-1.0,-1.0,1.6714,GAL,"""msfr slitcor1 5/16""",Q1549-RK107,Q1549-RK107,30222823000.0,1.6714
237.94204,19.14848,231.9,498.5,RK110,Q1549,25.18,0.52,0.42,yes,-1.0,-1.0,1.5975,GAL,"""zneb msfr 5/2013 close1H""",Q1549-RK110,Q1549-RK110,15034870000.0,1.5975
237.99191,19.16429,498.3,1302.2,RK111,Q1549,24.15,1.01,0.91,yes,-1.0,-1.0,1.2758,GAL,"""msfr 5/2014, 5/2016""",Q1549-RK111,Q1549-RK111,26604954000.0,1.2758
238.00478,19.19168,963.0,1510.5,RK121,Q1549,24.68,0.77,1.76,yes,-1.0,-1.0,2.3314,GAL,"""zneb 5/2014, K+H bands""",Q1549-RK121,Q1549-RK121,8886741000.0,2.3314
237.99199,19.20723,1227.5,1305.3,xS15,Q1549,20.12,1.09,1.9,yes,2.8516,-2.0,-2.0,QSO,"""GNB4950b, red QSO""",Q1549-xS15,Q1549-xS15,29631980000.0,2.8516
