RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Ude,zlya,zabs,zneb,type,comments,FULL_ID,SED_ID,stellar_mass,z_best
238.02122,19.21382,1338.4,1776.1,BX202,Q1549,24.37,0.03,0.78,yes,2.4863,2.48,2.4831,GAL,"""zneb nirspec; nz; m1; double Lya em 2.4863/2.4766""",Q1549-BX202,Q1549-BX202,1361415400.0,2.4831
238.02324,19.16747,551.1,1806.8,BX207,Q1549,24.32,0.36,1.15,yes,2.384,2.377,2.3802,GAL,"""""",Q1549-BX207,Q1549-BX207,7198920200.0,2.3802
237.92518,19.21083,1291.6,229.9,BX21,Q1549,24.47,0.32,0.61,yes,-2.0,2.183,-1.0,GAL,"""?""",Q1549-BX21,Q1549-BX21,40136684000.0,2.183
238.02392,19.22077,1456.3,1819.8,BX210,Q1549,24.16,0.19,1.0,yes,-2.0,2.443,-2.0,GAL,"""msfr 5/2014""",Q1549-BX210,Q1549-BX210,1144206000.0,2.443
238.02727,19.21268,1318.8,1873.4,BX219,Q1549,24.41,0.02,0.47,yes,1.91,1.906,-1.0,GAL,"""not 100% certain""",Q1549-BX219,Q1549-BX219,5808339500.0,1.906
238.02544,19.18454,840.9,1842.9,BX221,Q1549,24.87,0.57,1.25,yes,-1.0,-1.0,2.3408,GAL,"""nebz from msfr2""",Q1549-BX221,Q1549-BX221,8654329900.0,2.3408
238.02616,19.18332,820.2,1854.4,BX223,Q1549,24.29,0.29,0.92,yes,2.352,2.345,2.3492,GAL,"""zneb mosfire""",Q1549-BX223,Q1549-BX223,18676941000.0,2.3492
238.0285,19.17291,643.3,1891.7,BX227,Q1549,23.76,0.25,0.8,yes,-2.0,2.06,2.0573,GAL,"""strong MgII abs@z=0.555?""",Q1549-BX227,Q1549-BX227,12056798000.0,2.0573
238.02966,19.17003,594.4,1910.3,BX229,Q1549,24.78,0.0,0.82,yes,-1.0,-1.0,2.0628,GAL,"""nebz from msfr4; no UV obs""",Q1549-BX229,Q1549-BX229,1986457100.0,2.0628
238.03158,19.17105,611.6,1941.2,BX233,Q1549,24.54,0.35,1.07,yes,-2.0,2.059,2.0559,GAL,"""zneb mosfire""",Q1549-BX233,Q1549-BX233,23158981000.0,2.0559
238.03481,19.166,525.7,1993.1,BX240,Q1549,24.21,0.21,0.45,yes,-2.0,-2.0,2.0408,GAL,"""nz; q1549_msfr1,2,3; slitcor1neb z; z corrected back 10/20/21""",Q1549-BX240,Q1549-BX240,19858815000.0,2.0408
238.03592,19.20184,1134.4,2012.2,BX242,Q1549,24.57,0.32,0.97,yes,-2.0,2.518,-1.0,GAL,"""m1,m8""",Q1549-BX242,Q1549-BX242,2050859900.0,2.518
237.92681,19.18587,867.6,255.0,BX26,Q1549,24.93,0.28,0.85,yes,2.434,-2.0,-1.0,AGN,"""has NV em?""",Q1549-BX26,Q1549-BX26,892491520.0,2.434
237.92932,19.21692,1394.8,296.9,BX27,Q1549,25.15,0.58,1.02,yes,-2.0,2.124,-1.0,GAL,"""nz; m5[ap2]+m7; has xtra abs for sure """,Q1549-BX27,Q1549-BX27,13297996000.0,2.124
237.94135,19.17591,697.8,488.6,BX35,Q1549,24.76,0.28,0.65,yes,-2.0,-2.0,2.0621,GAL,"""nebz, from msfr1+msfr2; no UV id""",Q1549-BX35,Q1549-BX35,7247042000.0,2.0621
237.9415,19.18934,925.9,491.7,BX36,Q1549,24.72,0.32,0.85,yes,-1.0,-1.0,2.1938,GAL,"""zneb mosfire 2014""",Q1549-BX36,Q1549-BX36,2003663100.0,2.1938
237.94247,19.15463,336.3,505.7,BX37,Q1549,24.45,0.32,0.82,yes,1.937,1.933,-1.0,GAL,"""nz; [ap1]; [ap2]:0.304; [ap3]:0.867""",Q1549-BX37,Q1549-BX37,9375244300.0,1.933
237.91396,19.16356,489.3,47.0,BX4,Q1549,24.11,-0.03,0.41,yes,2.24,2.237,-1.0,GAL,"""v. strong Lya em""",Q1549-BX4,Q1549-BX4,2960305900.0,2.237
237.9437,19.16866,574.6,526.1,BX40,Q1549,24.49,0.2,0.6,yes,-2.0,1.87,-1.0,GAL,"""nz; z from N2""",Q1549-BX40,Q1549-BX40,4190948400.0,1.87
237.94491,19.16492,511.0,545.5,BX42,Q1549,24.99,0.36,0.64,yes,2.2238,2.219,2.2194,GAL,"""zneb mosfire; nz; m3; enormous OI abs!""",Q1549-BX42,Q1549-BX42,3914873600.0,2.2194
237.94736,19.17352,656.9,585.3,BX45,Q1549,24.47,0.14,0.59,yes,-2.0,2.0639,2.0645,GAL,"""zneb mosfire; nz; m7; strong unid abs @4837A""",Q1549-BX45,Q1549-BX45,3377445100.0,2.0645
237.9505,19.17274,643.6,635.8,BX48,Q1549,25.29,0.36,1.08,yes,2.5196,-2.0,2.5167,GAL,"""zneb mosfire; nz; m7; cont. from neighbor object""",Q1549-BX48,Q1549-BX48,407519170.0,2.5167
237.91463,19.15654,370.1,57.5,BX5,Q1549,24.59,0.11,0.61,yes,1.955,1.951,-1.0,GAL,"""""",Q1549-BX5,Q1549-BX5,3941478900.0,1.951
237.9539,19.18669,880.3,691.2,BX51,Q1549,24.56,0.25,0.91,yes,2.294,2.288,2.2895,GAL,"""zneb mosfire; nz; m2 """,Q1549-BX51,Q1549-BX51,2442674700.0,2.2895
237.95534,19.15242,298.2,712.9,BX52,Q1549,23.84,0.25,0.98,yes,-2.0,2.734,-1.0,GAL,"""nz; m6""",Q1549-BX52,Q1549-BX52,3314590200.0,2.734
237.95734,19.18577,864.6,746.5,BX54,Q1549,25.09,0.11,0.49,yes,2.326,2.3185,2.321,GAL,"""nz; m4; xtra abs, poss. strong CII* em""",Q1549-BX54,Q1549-BX54,775888190.0,2.321
237.95757,19.17337,654.0,749.7,BX55,Q1549,20.74,-0.07,0.3,yes,-1.0,-1.0,0.8263,QSO,"""zneb is from  K-band msfr5: HeI 10833.3, Pa5,6; only LRIS spectrum is as a slit star xS9""",Q1549-BX55,Q1549-BX55,0.0,0.8263
237.96101,19.19194,969.2,805.9,BX58,Q1549,25.21,0.41,1.35,yes,-2.0,-2.0,2.5012,GAL,"""msfr m1 5/16; zneb mosfire""",Q1549-BX58,Q1549-BX58,1730385400.0,2.5012
237.96203,19.18172,795.6,821.9,BX59,Q1549,23.45,0.09,0.56,yes,-2.0,1.8769,-1.0,GAL,"""nz; m1""",Q1549-BX59,Q1549-BX59,11615365000.0,1.8769
237.96309,19.18335,823.2,839.0,BX62,Q1549,25.42,0.48,1.19,yes,-1.0,-1.0,2.1929,GAL,"""zneb nirspec; nz; z from Ha; no LRIS yet""",Q1549-BX62,Q1549-BX62,11327543000.0,2.1929
237.96316,19.18963,929.9,840.4,BX63,Q1549,25.11,0.12,0.62,yes,-2.0,1.9497,1.9508,GAL,"""zneb nirspec; nz; m5 ; z=1.9510 from Ha; """,Q1549-BX63,Q1549-BX63,1220543100.0,1.9508
237.96489,19.18969,930.8,868.3,BX65,Q1549,24.98,0.34,1.2,yes,-1.0,-1.0,2.38,GAL,"""zneb nirspec; nz; z from Halpha; not observed w/LRIS yet""",Q1549-BX65,Q1549-BX65,6277222900.0,2.38
237.96578,19.19078,949.3,882.6,BX67,Q1549,25.03,0.34,0.68,yes,-2.0,1.868,-1.0,GAL,"""nz; m8""",Q1549-BX67,Q1549-BX67,7743491100.0,1.868
237.96674,19.15783,389.6,896.7,BX70,Q1549,23.48,0.16,0.52,yes,1.7779,1.7725,-1.0,GAL,"""nz; m6""",Q1549-BX70,Q1549-BX70,5424364000.0,1.7725
237.96771,19.2054,1197.5,914.3,BX73,Q1549,24.31,0.38,0.83,yes,2.1971,2.192,-1.0,GAL,"""nz; m4""",Q1549-BX73,Q1549-BX73,6049241100.0,2.192
237.96992,19.18212,803.1,948.1,BX81,Q1549,24.5,0.32,0.86,yes,-2.0,1.8,-1.0,GAL,"""coords corrected, 4/13/2016""",Q1549-BX81,Q1549-BX81,2380729100.0,1.8
237.97374,19.20684,1221.7,1011.5,BX84,Q1549,24.47,0.5,1.07,yes,-2.0,2.823,-1.0,GAL,"""nz; m3; v strong Lya and ism abs""",Q1549-BX84,Q1549-BX84,3667145700.0,2.823
237.97534,19.19667,1048.9,1036.8,BX86,Q1549,25.32,0.16,0.84,yes,-1.0,-1.0,1.6782,GAL,"""zneb 5/2014 close1H""",Q1549-BX86,Q1549-BX86,307536290.0,1.6782
237.97638,19.17664,708.7,1052.7,BX89,Q1549,24.91,0.44,1.04,yes,-1.0,-1.0,2.1112,GAL,"""zneb msfr 5/2014 close1H,K""",Q1549-BX89,Q1549-BX89,9932177400.0,2.1112
237.91636,19.20222,1145.8,87.5,BX9,Q1549,24.5,0.23,0.86,yes,-2.0,1.947,-1.0,GAL,"""""",Q1549-BX9,Q1549-BX9,1588113200.0,1.947
237.97713,19.1718,626.5,1064.6,BX91,Q1549,24.44,0.45,0.97,yes,-2.0,-2.0,1.6714,GAL,"""zneb msfr 5/2014""",Q1549-BX91,Q1549-BX91,16793945000.0,1.6714
