obs_wav,fnu_50,fnu_16,fnu_84
3.55,0.0,0.0,0.0
3.6387499999999995,0.0,0.0,0.0
3.7297187499999995,0.0,0.0,0.0
3.8229617187499993,0.0,0.0,0.0
3.918535761718749,0.0,0.0,0.0
4.016499155761717,0.0,0.0,0.0
4.11691163465576,0.0,0.0,0.0
4.219834425522153,0.0,0.0,0.0
4.325330286160207,0.0,0.0,0.0
4.433463543314211,0.0,0.0,0.0
4.5443001318970655,0.0,0.0,0.0
4.657907635194492,0.0,0.0,0.0
4.774355326074354,0.0,0.0,0.0
4.893714209226213,0.0,0.0,0.0
5.016057064456868,0.0,0.0,0.0
5.141458491068289,0.0,0.0,0.0
5.2699949533449955,0.0,0.0,0.0
5.40174482717862,0.0,0.0,0.0
5.536788447858085,0.0,0.0,0.0
5.675208159054536,0.0,0.0,0.0
5.8170883630309,0.0,0.0,0.0
5.962515572106671,0.0,0.0,0.0
6.111578461409337,0.0,0.0,0.0
6.26436792294457,0.0,0.0,0.0
6.420977121018184,0.0,0.0,0.0
6.5815015490436375,0.0,0.0,0.0
6.746039087769728,0.0,0.0,0.0
6.91469006496397,0.0,0.0,0.0
7.08755731658807,0.0,0.0,0.0
7.26474624950277,0.0,0.0,0.0
7.44636490574034,0.0,0.0,0.0
7.6325240283838465,0.0,0.0,0.0
7.823337129093441,0.0,0.0,0.0
8.018920557320778,0.0,0.0,0.0
8.219393571253796,0.0,0.0,0.0
8.42487841053514,0.0,0.0,0.0
8.635500370798518,0.0,0.0,0.0
8.85138788006848,0.0,0.0,0.0
9.072672577070191,0.0,0.0,0.0
9.299489391496946,0.0,0.0,0.0
9.531976626284369,0.0,0.0,0.0
9.770276041941477,0.0,0.0,0.0
10.014532942990014,0.0,0.0,0.0
10.264896266564763,0.0,0.0,0.0
10.521518673228881,0.0,0.0,0.0
10.784556640059604,0.0,0.0,0.0
11.054170556061093,0.0,0.0,0.0
11.33052481996262,0.0,0.0,0.0
11.613787940461684,0.0,0.0,0.0
11.904132638973225,0.0,0.0,0.0
12.201735954947555,0.0,0.0,0.0
12.506779353821242,0.0,0.0,0.0
12.819448837666773,0.0,0.0,0.0
13.139935058608442,0.0,0.0,0.0
13.468433435073653,0.0,0.0,0.0
13.805144270950493,0.0,0.0,0.0
14.150272877724253,0.0,0.0,0.0
14.50402969966736,0.0,0.0,0.0
14.866630442159043,0.0,0.0,0.0
15.238296203213016,0.0,0.0,0.0
15.619253608293342,0.0,0.0,0.0
16.009734948500675,0.0,0.0,2.4963766050017087e-276
16.409978322213192,0.0,0.0,1.1938353050674937e-269
16.82022778026852,0.0,0.0,3.62424268741351e-263
17.240733474775233,0.0,0.0,7.078774332882384e-257
17.67175181164461,0.0,0.0,9.01233763470645e-251
18.113545606935727,0.0,0.0,7.626814450135834e-245
18.566384247109117,0.0,0.0,4.3214815541937985e-239
19.030543853286844,0.0,0.0,1.656718388229304e-233
19.506307449619012,0.0,0.0,4.347266442140308e-228
19.993965135859487,0.0,0.0,7.823208332765815e-223
20.49381426425597,0.0,0.0,9.724104496779888e-218
21.00615962086237,0.0,0.0,8.575956157490596e-213
21.531313611383926,0.0,0.0,5.37048552936626e-208
22.069596451668524,0.0,0.0,2.402204681739359e-203
22.621336362960236,0.0,0.0,7.835672281356695e-199
23.18686977203424,0.0,0.0,1.8810156087038382e-194
23.766541516335092,0.0,0.0,3.3529456071357647e-190
24.360705054243468,0.0,0.0,4.476486787982125e-186
24.969722680599553,5.281703633099921e-276,0.0,4.5255294349889454e-182
25.593965747614536,2.5860751082668016e-269,0.0,3.471145495666183e-178
26.2338148913049,8.028040934405183e-263,0.0,1.965087283429129e-174
26.88966026358752,1.6016059525307728e-256,0.0,8.628545630257232e-171
27.561901770177204,2.0805472338146628e-250,0.0,2.960803412828658e-167
28.25094931443163,1.782396649467282e-244,0.0,7.997771023329255e-164
28.95722304729242,1.0197577981215843e-238,0.0,1.7131513130745707e-160
29.681153623474728,3.94269784939372e-233,0.0,2.929638225059696e-157
30.42318246406159,1.0421238945686874e-227,0.0,4.0261732778560614e-154
31.18376202566313,1.9044785423592958e-222,0.0,4.475477056686372e-151
31.963356076304702,1.796840376496239e-193,1.5697535361165758e-255,3.0733893097489506e-124
32.76243997821232,9.861892034704693e-187,5.6591480841429557e-247,1.441576528376349e-119
33.58150097766762,1.2754948994781885e-181,4.248419019576094e-240,1.8354074172450312e-116
34.42103850210931,8.970617773942825e-177,1.538199483263391e-233,1.4575886233268477e-113
35.28156446466203,4.088721621485855e-172,3.2125534162875795e-227,8.5698163235758e-111
36.16360357627858,2.9987218472878187e-166,9.90788435344531e-220,9.438681108363643e-107
37.067693665685546,1.2781412706218095e-161,1.549852216332958e-213,6.697082158068263e-104
